feature,importance
connected_clients_ratio,0.2908552785791382
clients_seen_lag3,0.2096558939473182
clients_seen_lag2,0.11807334857366499
clients_seen,0.11402723100551312
avg_latency_ms_lag3,0.059361609501288985
clients_seen_lag1,0.054470095433430066
avg_latency_ms_lag1,0.03303907203782189
slice_name_URLLC,0.03130633043118182
avg_slice_load_ratio_delta_3,0.023766670298629593
avg_latency_ms_lag2,0.008639191288905224
connected_clients_ratio_roll3_mean,0.006175335496038318
connected_clients_ratio_delta_1,0.0051927917438835056
avg_latency_ms_delta_3,0.004910978838660723
avg_latency_ms_delta_1,0.004660296292381648
connected_clients_ratio_lag2,0.0041783423488924885
connected_clients_ratio_roll3_min,0.004151123746652905
avg_slice_load_ratio_lag2,0.0034680033565162105
total_bandwidth_usage_lag2,0.0031128323083321916
avg_slice_load_ratio_delta_1,0.0031076926132861593
avg_slice_load_ratio_lag1,0.002711237893055766
total_bandwidth_usage,0.0023696695184557653
p95_latency_ms_roll3_mean,0.0022804705414092487
connected_clients_ratio_delta_3,0.002181795424621361
avg_slice_load_ratio_lag3,0.0016244311784970183
avg_slice_load_ratio,0.0012657662841900593
avg_slice_load_ratio_roll3_max,0.001245800930970772
total_bandwidth_usage_lag3,0.000848373569915528
p95_latency_ms_delta_1,0.0008021745431614607
p95_latency_ms_roll3_max,0.0004083652442024766
p95_latency_ms_lag2,0.0003857403537106499
p95_latency_ms_delta_3,0.0002966983252853463
p95_latency_ms,0.00028889169103548605
avg_slice_load_ratio_roll3_mean,0.000286663718216332
avg_latency_ms,0.00024962949587648264
slice_used_diff_lag3,0.00018470598896530582
p95_latency_ms_lag3,0.00015417099181796434
requested_usage_sum_roll3_mean,0.00011716470726096173
requested_usage_sum_lag3,6.453499261553138e-05
connected_clients_ratio_lag1,2.834311746557752e-05
disconnected_events_lag2,2.6743711061836335e-05
connected_clients_ratio_lag3,1.1351524537957645e-05
request_count_roll3_mean,1.071048486925313e-05
mean_remaining_capacity_ratio_lag1,4.194549524429454e-06
avg_latency_ms_roll3_max,1.4164241486827115e-07
avg_latency_ms_roll3_mean,7.711746794034084e-08
p95_latency_ms_lag1,3.202252518208585e-08
total_bandwidth_usage_lag1,2.5953340488710875e-09
requested_usage_mean_lag1,4.860219521353358e-16
slice_used_diff_delta_1,4.830372123080505e-17
connected_events_lag3,4.672597949098062e-17
mean_remaining_capacity_ratio_lag3,2.4424167767606286e-17
requested_usage_max_lag1,4.8343182662887826e-18
requested_usage_max_lag3,1.099972704350546e-18
slice_capacity_level_roll3_mean,8.066487365661645e-19
requested_usage_sum_lag2,1.1542101549349591e-19
base_station_id_BS_6,0.0
slice_init_capacity,0.0
base_station_id_BS_1,0.0
base_station_id_BS_4,0.0
base_station_id_BS_3,0.0
base_station_id_BS_2,0.0
slice_name_mMTC,0.0
base_station_id_BS_0,0.0
slice_name_eMBB,0.0
base_station_id_BS_5,0.0
handover_ratio_delta_3,0.0
handover_ratio_delta_1,0.0
slice_used_diff,0.0
slice_capacity_level,0.0
already_disconnected_events,0.0
requested_usage_mean,0.0
requested_usage_max,0.0
handover_ratio,0.0
connected_events_lag2,0.0
block_ratio,0.0
coverage_ratio,0.0
base_station_capacity,0.0
request_count,0.0
base_station_radius,0.0
mean_distance_to_bs,0.0
mean_slice_load_ratio,0.0
handover_ratio_lag2,0.0
handover_ratio_roll3_max,0.0
block_ratio_delta_3,0.0
block_ratio_lag1,0.0
coverage_ratio_lag2,0.0
coverage_ratio_lag1,0.0
mean_slice_load_ratio_lag1,0.0
block_ratio_lag3,0.0
mean_slice_load_ratio_lag2,0.0
mean_slice_load_ratio_lag3,0.0
requested_usage_max_lag2,0.0
slice_capacity_level_lag1,0.0
slice_capacity_level_lag2,0.0
slice_used_diff_lag1,0.0
slice_used_diff_lag2,0.0
block_ratio_lag2,0.0
request_count_lag2,0.0
requested_usage_sum_lag1,0.0
request_count_lag3,0.0
requested_usage_mean_lag3,0.0
requested_usage_mean_lag2,0.0
mean_remaining_capacity_ratio,0.0
requested_usage_sum,0.0
latency_violation_ratio,0.0
already_disconnected_events_lag1,0.0
connected_events_lag1,0.0
disconnected_events_lag1,0.0
disconnected_events_lag3,0.0
already_disconnected_events_lag3,0.0
already_disconnected_events_lag2,0.0
request_count_lag1,0.0
coverage_ratio_lag3,0.0
coverage_ratio_roll3_min,0.0
handover_ratio_roll3_mean,0.0
requested_usage_sum_roll3_max,0.0
block_ratio_delta_1,0.0
slice_used_diff_delta_3,0.0
requested_usage_sum_delta_3,0.0
slice_capacity_level_delta_1,0.0
slice_capacity_level_delta_3,0.0
request_count_delta_3,0.0
request_count_delta_1,0.0
latency_violation_ratio_lag3,0.0
requested_usage_sum_delta_1,0.0
latency_violation_ratio_lag2,0.0
handover_ratio_lag1,0.0
handover_ratio_lag3,0.0
latency_violation_ratio_lag1,0.0
latency_violation_ratio_roll3_mean,0.0
coverage_ratio_roll3_mean,0.0
block_ratio_roll3_max,0.0
requested_usage_sum_roll3_sum,0.0
request_count_roll3_max,0.0
latency_violation_ratio_delta_3,0.0
latency_violation_ratio_delta_1,0.0
request_count_roll3_sum,0.0
latency_violation_ratio_roll3_max,0.0
block_ratio_roll3_mean,0.0
disconnected_events,-1.5872161518424734e-20
connected_events,-7.927523563208734e-20
slice_capacity_level_roll3_min,-4.9293666978384475e-17
max_distance_to_bs,-5.613787001503557e-17
mean_remaining_capacity_ratio_lag2,-4.1696007469192705e-16
slice_capacity_level_lag3,-8.688142532034805e-16
