effective_time,slice_name,observed_sla_violation_share,observed_latency_violation_ratio,observed_near_breach_share,observed_request_count,observed_avg_load,safety_margin_before,safety_margin_after,feedback_reason
4,URLLC,1.0,0.0,1.0,99.0,0.07519531122448979,1.25,1.5,increase_margin_due_to_sla_pressure
4,eMBB,1.0,0.0,1.0,317.0,0.9982072720095345,0.9,1.15,increase_margin_due_to_sla_pressure
4,mMTC,1.0,0.0,1.0,194.0,0.10659887603930461,0.9,1.15,increase_margin_due_to_sla_pressure
5,URLLC,1.0,0.0,1.0,98.0,0.06363193571428571,1.5,1.75,increase_margin_due_to_sla_pressure
5,eMBB,1.0,0.0,1.0,251.0,0.998010057620524,1.15,1.4,increase_margin_due_to_sla_pressure
5,mMTC,1.0,0.0,1.0,221.0,0.13539363297956727,1.15,1.4,increase_margin_due_to_sla_pressure
6,URLLC,1.0,0.0,1.0,90.0,0.06477258775510204,1.75,2.0,increase_margin_due_to_sla_pressure
6,eMBB,1.0,0.0,1.0,266.0,0.9976967178807962,1.4,1.65,increase_margin_due_to_sla_pressure
6,mMTC,1.0,0.0,1.0,206.0,0.18301929936715053,1.4,1.65,increase_margin_due_to_sla_pressure
7,URLLC,1.0,0.0,1.0,68.0,0.045928341496598635,2.0,2.25,increase_margin_due_to_sla_pressure
7,eMBB,1.0,0.0,1.0,221.0,0.998484339172356,1.65,1.9,increase_margin_due_to_sla_pressure
7,mMTC,1.0,0.0,1.0,208.0,0.18182484992861567,1.65,1.9,increase_margin_due_to_sla_pressure
8,URLLC,1.0,0.0,1.0,74.0,0.050817535374149646,2.25,2.5,increase_margin_due_to_sla_pressure
8,eMBB,1.0,0.0,1.0,194.0,0.9981429505040413,1.9,2.15,increase_margin_due_to_sla_pressure
8,mMTC,1.0,0.0,1.0,216.0,0.183578919047619,1.9,2.15,increase_margin_due_to_sla_pressure
9,URLLC,1.0,0.0,1.0,96.0,0.06555881088435372,2.5,2.5,increase_margin_due_to_sla_pressure
9,eMBB,1.0,0.0,1.0,183.0,0.9979177914262248,2.15,2.4,increase_margin_due_to_sla_pressure
9,mMTC,1.0,0.0,1.0,216.0,0.18673740748299314,2.15,2.4,increase_margin_due_to_sla_pressure
10,URLLC,1.0,0.0,1.0,106.0,0.0723500476190476,2.5,2.5,increase_margin_due_to_sla_pressure
10,eMBB,1.0,0.0,1.0,155.0,0.9991998997113763,2.4,2.5,increase_margin_due_to_sla_pressure
10,mMTC,1.0,0.0,1.0,206.0,0.19862141360544214,2.4,2.5,increase_margin_due_to_sla_pressure
11,URLLC,1.0,0.0,1.0,103.0,0.07085806326530611,2.5,2.5,increase_margin_due_to_sla_pressure
11,eMBB,1.0,0.0,1.0,154.0,0.9978356792570463,2.5,2.5,increase_margin_due_to_sla_pressure
11,mMTC,1.0,0.0,1.0,184.0,0.1769338639455782,2.5,2.5,increase_margin_due_to_sla_pressure
12,URLLC,1.0,0.0,1.0,88.0,0.06167421360544217,2.5,2.5,increase_margin_due_to_sla_pressure
12,eMBB,1.0,0.0,1.0,131.0,0.9992803589194866,2.5,2.5,increase_margin_due_to_sla_pressure
12,mMTC,1.0,0.0,1.0,210.0,0.16288276870748297,2.5,2.5,increase_margin_due_to_sla_pressure
13,URLLC,1.0,0.0,1.0,102.0,0.06986994285714285,2.5,2.5,increase_margin_due_to_sla_pressure
13,eMBB,1.0,0.0,1.0,120.0,0.9989948616501815,2.5,2.5,increase_margin_due_to_sla_pressure
13,mMTC,1.0,0.0,1.0,210.0,0.18425200816326526,2.5,2.5,increase_margin_due_to_sla_pressure
14,URLLC,1.0,0.0,1.0,78.0,0.055144226870748284,2.5,2.5,increase_margin_due_to_sla_pressure
14,eMBB,1.0,0.0,1.0,112.0,0.9990409697130137,2.5,2.5,increase_margin_due_to_sla_pressure
14,mMTC,1.0,0.0,1.0,211.0,0.19404177278911558,2.5,2.5,increase_margin_due_to_sla_pressure
15,URLLC,1.0,0.0,1.0,87.0,0.05767250068027209,2.5,2.5,increase_margin_due_to_sla_pressure
15,eMBB,1.0,0.0,1.0,93.0,0.9983817657787535,2.5,2.5,increase_margin_due_to_sla_pressure
15,mMTC,1.0,0.0,1.0,199.0,0.18273540816326525,2.5,2.5,increase_margin_due_to_sla_pressure
16,URLLC,1.0,0.0,1.0,85.0,0.06314618197278911,2.5,2.5,increase_margin_due_to_sla_pressure
16,eMBB,1.0,0.0,1.0,94.0,0.9991165819121515,2.5,2.5,increase_margin_due_to_sla_pressure
16,mMTC,1.0,0.0,1.0,193.0,0.18066208299319725,2.5,2.5,increase_margin_due_to_sla_pressure
17,URLLC,1.0,0.0,1.0,82.0,0.057659341156462575,2.5,2.5,increase_margin_due_to_sla_pressure
17,eMBB,1.0,0.0,1.0,65.0,0.9989867049066995,2.5,2.5,increase_margin_due_to_sla_pressure
17,mMTC,1.0,0.0,1.0,214.0,0.16441118367346935,2.5,2.5,increase_margin_due_to_sla_pressure
18,URLLC,1.0,0.0,1.0,87.0,0.059883892176870734,2.5,2.5,increase_margin_due_to_sla_pressure
18,eMBB,1.0,0.0,1.0,77.0,0.9991539279168986,2.5,2.5,increase_margin_due_to_sla_pressure
18,mMTC,1.0,0.0,1.0,207.0,0.19140597891156458,2.5,2.5,increase_margin_due_to_sla_pressure
19,URLLC,0.0,0.0,1.0,75.0,0.0532609200680272,2.5,2.45,decrease_margin_after_safe_window
19,eMBB,0.0,0.0,1.0,68.0,0.9981395735769042,2.5,2.45,decrease_margin_after_safe_window
19,mMTC,0.0,0.0,1.0,176.0,0.18752369727891155,2.5,2.45,decrease_margin_after_safe_window
20,URLLC,0.0,0.0,1.0,78.0,0.04685149829931972,2.45,2.4000000000000004,decrease_margin_after_safe_window
20,eMBB,0.0,0.0,1.0,64.0,0.9991970367195245,2.45,2.4000000000000004,decrease_margin_after_safe_window
20,mMTC,0.0,0.0,1.0,194.0,0.1592454414965986,2.45,2.4000000000000004,decrease_margin_after_safe_window
21,URLLC,0.0,0.0,0.0,82.0,0.05327177108843536,2.4000000000000004,2.3500000000000005,decrease_margin_after_safe_window
21,eMBB,0.0,0.0,0.0,68.0,0.99881149890612,2.4000000000000004,2.3500000000000005,decrease_margin_after_safe_window
21,mMTC,0.0,0.0,0.0,221.0,0.1722502870748299,2.4000000000000004,2.3500000000000005,decrease_margin_after_safe_window
22,URLLC,0.0,0.0,0.0,91.0,0.056309745238095225,2.3500000000000005,2.3000000000000007,decrease_margin_after_safe_window
22,eMBB,0.0,0.0,0.0,57.0,0.9989826805990665,2.3500000000000005,2.3000000000000007,decrease_margin_after_safe_window
22,mMTC,0.0,0.0,0.0,179.0,0.197724981632653,2.3500000000000005,2.3000000000000007,decrease_margin_after_safe_window
23,URLLC,0.0,0.0,0.0,86.0,0.05902542993197278,2.3000000000000007,2.250000000000001,decrease_margin_after_safe_window
23,eMBB,0.0,0.0,0.0,39.0,0.9987733819794912,2.3000000000000007,2.250000000000001,decrease_margin_after_safe_window
23,mMTC,0.0,0.0,0.0,197.0,0.16633088435374146,2.3000000000000007,2.250000000000001,decrease_margin_after_safe_window
24,URLLC,0.0,0.0,0.0,78.0,0.05246771428571427,2.250000000000001,2.200000000000001,decrease_margin_after_safe_window
24,eMBB,0.0,0.0,0.0,36.0,0.9994583306329204,2.250000000000001,2.200000000000001,decrease_margin_after_safe_window
24,mMTC,0.0,0.0,0.0,206.0,0.17040232789115642,2.250000000000001,2.200000000000001,decrease_margin_after_safe_window
25,URLLC,0.0,0.0,0.0,78.0,0.05463423877551019,2.200000000000001,2.1500000000000012,decrease_margin_after_safe_window
25,eMBB,0.0,0.0,0.0,22.0,0.9987830229008653,2.200000000000001,2.1500000000000012,decrease_margin_after_safe_window
25,mMTC,0.0,0.0,0.0,214.0,0.190949981632653,2.200000000000001,2.1500000000000012,decrease_margin_after_safe_window
26,URLLC,0.0,0.0,0.0,107.0,0.07620815068027209,2.1500000000000012,2.1000000000000014,decrease_margin_after_safe_window
26,eMBB,0.0,0.0,0.0,36.0,0.9987913249622233,2.1500000000000012,2.1000000000000014,decrease_margin_after_safe_window
26,mMTC,0.0,0.0,0.0,205.0,0.1941931482993197,2.1500000000000012,2.1000000000000014,decrease_margin_after_safe_window
27,URLLC,0.0,0.0,0.0,76.0,0.04820473027210883,2.1000000000000014,2.0500000000000016,decrease_margin_after_safe_window
27,eMBB,0.0,0.0,0.0,43.0,0.9991956705484181,2.1000000000000014,2.0500000000000016,decrease_margin_after_safe_window
27,mMTC,0.0,0.0,0.0,203.0,0.1855999258503401,2.1000000000000014,2.0500000000000016,decrease_margin_after_safe_window
28,URLLC,0.0,0.0,0.0,90.0,0.05510256292517006,2.0500000000000016,2.0000000000000018,decrease_margin_after_safe_window
28,eMBB,0.0,0.0,0.0,21.0,0.999512242132441,2.0500000000000016,2.0000000000000018,decrease_margin_after_safe_window
28,mMTC,0.0,0.0,0.0,196.0,0.17124138707482991,2.0500000000000016,2.0000000000000018,decrease_margin_after_safe_window
29,URLLC,0.0,0.0,0.0,97.0,0.06641272687074828,2.0000000000000018,1.9500000000000017,decrease_margin_after_safe_window
29,eMBB,0.0,0.0,0.0,24.0,0.9994816446692223,2.0000000000000018,1.9500000000000017,decrease_margin_after_safe_window
29,mMTC,0.0,0.0,0.0,192.0,0.1740263884353741,2.0000000000000018,1.9500000000000017,decrease_margin_after_safe_window
30,URLLC,0.0,0.0,0.0,94.0,0.06575220170068026,1.9500000000000017,1.9000000000000017,decrease_margin_after_safe_window
30,eMBB,0.0,0.0,0.0,20.0,0.9994207161991745,1.9500000000000017,1.9000000000000017,decrease_margin_after_safe_window
30,mMTC,0.0,0.0,0.0,206.0,0.18520356666666662,1.9500000000000017,1.9000000000000017,decrease_margin_after_safe_window
31,URLLC,0.0,0.0,0.0,101.0,0.07178015170068026,1.9000000000000017,1.8500000000000016,decrease_margin_after_safe_window
31,eMBB,0.0,0.0,0.0,27.0,0.9986081267562635,1.9000000000000017,1.8500000000000016,decrease_margin_after_safe_window
31,mMTC,0.0,0.0,0.0,205.0,0.17630513673469386,1.9000000000000017,1.8500000000000016,decrease_margin_after_safe_window
32,URLLC,0.0,0.0,0.0,92.0,0.06473861700680271,1.8500000000000016,1.8000000000000016,decrease_margin_after_safe_window
32,eMBB,0.0,0.0,0.0,18.0,0.9995660068087961,1.8500000000000016,1.8000000000000016,decrease_margin_after_safe_window
32,mMTC,0.0,0.0,0.0,220.0,0.18447973333333328,1.8500000000000016,1.8000000000000016,decrease_margin_after_safe_window
33,URLLC,0.0,0.0,0.0,76.0,0.052528919727891143,1.8000000000000016,1.7500000000000016,decrease_margin_after_safe_window
33,eMBB,0.0,0.0,0.0,16.0,0.9989175821565076,1.8000000000000016,1.7500000000000016,decrease_margin_after_safe_window
33,mMTC,0.0,0.0,0.0,213.0,0.19366077278911561,1.8000000000000016,1.7500000000000016,decrease_margin_after_safe_window
34,URLLC,0.0,0.0,0.0,98.0,0.06567429897959183,1.7500000000000016,1.7000000000000015,decrease_margin_after_safe_window
34,eMBB,0.0,0.0,0.0,16.0,0.9991701191070165,1.7500000000000016,1.7000000000000015,decrease_margin_after_safe_window
34,mMTC,0.0,0.0,0.0,230.0,0.19249335306122445,1.7500000000000016,1.7000000000000015,decrease_margin_after_safe_window
35,URLLC,0.0,0.0,0.0,92.0,0.057995212925170056,1.7000000000000015,1.6500000000000015,decrease_margin_after_safe_window
35,eMBB,0.0,0.0,0.0,18.0,0.9988638342316553,1.7000000000000015,1.6500000000000015,decrease_margin_after_safe_window
35,mMTC,0.0,0.0,0.0,190.0,0.20970340638687762,1.7000000000000015,1.6500000000000015,decrease_margin_after_safe_window
36,URLLC,0.0,0.0,0.0,69.0,0.046317765646258495,1.6500000000000015,1.6000000000000014,decrease_margin_after_safe_window
36,eMBB,0.0,0.0,0.0,17.0,0.9987533024583298,1.6500000000000015,1.6000000000000014,decrease_margin_after_safe_window
36,mMTC,0.0,0.0,0.0,167.0,0.16366559815851792,1.6500000000000015,1.6000000000000014,decrease_margin_after_safe_window
37,URLLC,0.0,0.0,0.0,91.0,0.06367420374149659,1.6000000000000014,1.5500000000000014,decrease_margin_after_safe_window
37,eMBB,0.0,0.0,0.0,16.0,0.9980338330801953,1.6000000000000014,1.5500000000000014,decrease_margin_after_safe_window
37,mMTC,0.0,0.0,0.0,205.0,0.15307576172636067,1.6000000000000014,1.5500000000000014,decrease_margin_after_safe_window
38,URLLC,0.0,0.0,0.0,85.0,0.06004358843537414,1.5500000000000014,1.5000000000000013,decrease_margin_after_safe_window
38,eMBB,0.0,0.0,0.0,20.0,0.998783473900926,1.5500000000000014,1.5000000000000013,decrease_margin_after_safe_window
38,mMTC,0.0,0.0,0.0,206.0,0.19028851000367292,1.5500000000000014,1.5000000000000013,decrease_margin_after_safe_window
39,URLLC,0.0,0.0,0.0,90.0,0.06603394489795918,1.5000000000000013,1.4500000000000013,decrease_margin_after_safe_window
39,eMBB,0.0,0.0,0.0,19.0,0.9982626712193478,1.5000000000000013,1.4500000000000013,decrease_margin_after_safe_window
39,mMTC,0.0,0.0,0.0,208.0,0.17230206258503397,1.5000000000000013,1.4500000000000013,decrease_margin_after_safe_window
40,URLLC,0.0,0.0,0.0,90.0,0.0634702363945578,1.4500000000000013,1.4000000000000012,decrease_margin_after_safe_window
40,eMBB,0.0,0.0,0.0,15.0,0.998738424408387,1.4500000000000013,1.4000000000000012,decrease_margin_after_safe_window
40,mMTC,0.0,0.0,0.0,203.0,0.18510805986394555,1.4500000000000013,1.4000000000000012,decrease_margin_after_safe_window
41,URLLC,0.0,0.0,0.0,81.0,0.054131970748299306,1.4000000000000012,1.3500000000000012,decrease_margin_after_safe_window
41,eMBB,0.0,0.0,0.0,19.0,0.9974170665442798,1.4000000000000012,1.3500000000000012,decrease_margin_after_safe_window
41,mMTC,0.0,0.0,0.0,219.0,0.18341895986394555,1.4000000000000012,1.3500000000000012,decrease_margin_after_safe_window
42,URLLC,0.0,0.0,0.0,79.0,0.05199085102040816,1.3500000000000012,1.3000000000000012,decrease_margin_after_safe_window
42,eMBB,0.0,0.0,0.0,16.0,0.9988156375380918,1.3500000000000012,1.3000000000000012,decrease_margin_after_safe_window
42,mMTC,0.0,0.0,0.0,195.0,0.1938527959183673,1.3500000000000012,1.3000000000000012,decrease_margin_after_safe_window
43,URLLC,0.0,0.0,0.0,82.0,0.05857295748299319,1.3000000000000012,1.250000000000001,decrease_margin_after_safe_window
43,eMBB,0.0,0.0,0.0,10.0,0.9982804705313645,1.3000000000000012,1.250000000000001,decrease_margin_after_safe_window
43,mMTC,0.0,0.0,0.0,235.0,0.16836491083485547,1.3000000000000012,1.250000000000001,decrease_margin_after_safe_window
44,URLLC,0.0,0.0,0.0,74.0,0.04983186258503401,1.250000000000001,1.200000000000001,decrease_margin_after_safe_window
44,eMBB,0.0,0.0,0.0,13.0,0.9984512339358433,1.250000000000001,1.200000000000001,decrease_margin_after_safe_window
44,mMTC,0.0,0.0,0.0,176.0,0.2006449601443148,1.250000000000001,1.200000000000001,decrease_margin_after_safe_window
45,URLLC,0.0,0.0,0.0,102.0,0.07140453843537414,1.200000000000001,1.150000000000001,decrease_margin_after_safe_window
45,eMBB,0.0,0.0,0.0,7.0,0.9989664088765873,1.200000000000001,1.150000000000001,decrease_margin_after_safe_window
45,mMTC,0.0,0.0,0.0,209.0,0.15924776796713777,1.200000000000001,1.150000000000001,decrease_margin_after_safe_window
46,URLLC,0.0,0.0,0.0,88.0,0.059940502380952373,1.150000000000001,1.100000000000001,decrease_margin_after_safe_window
46,eMBB,0.0,0.0,0.0,18.0,0.9973649559303975,1.150000000000001,1.100000000000001,decrease_margin_after_safe_window
46,mMTC,0.0,0.0,0.0,199.0,0.18684935418771462,1.150000000000001,1.100000000000001,decrease_margin_after_safe_window
47,URLLC,0.0,0.0,0.0,94.0,0.06234258537414965,1.100000000000001,1.050000000000001,decrease_margin_after_safe_window
47,eMBB,0.0,0.0,0.0,14.0,0.9978040263298809,1.100000000000001,1.050000000000001,decrease_margin_after_safe_window
47,mMTC,0.0,0.0,0.0,206.0,0.18025502013876699,1.100000000000001,1.050000000000001,decrease_margin_after_safe_window
48,URLLC,0.0,0.0,0.0,78.0,0.05050418265306122,1.050000000000001,1.0000000000000009,decrease_margin_after_safe_window
48,eMBB,0.0,0.0,0.0,12.0,0.9975152851678205,1.050000000000001,1.0000000000000009,decrease_margin_after_safe_window
