client_id,slice_name,total_connected_time,total_unconnected_time,total_request_count,total_consume_time,total_usage,avg_served_bandwidth,total_completed_requests,completion_ratio,total_latency_ms,avg_completion_latency_ms,max_completion_latency_ms,completion_latency_violation_count,completion_latency_violation_ratio,total_first_service_latency_ms,avg_first_service_latency_ms,max_first_service_latency_ms,first_service_latency_violation_count,first_service_latency_violation_ratio
0,URLLC,185.75,314.25,743,742,255355367.0,344144.69946091645,742,0.9986541049798116,45.5835803834268,0.0614333967431628,0.06283095485714313,0,0.0,1.11457957923634,0.0015001071052979005,0.001518285853495135,0,0.0
1,eMBB,497.5,2.5,9,1980,720275502.2937399,363775.50620895956,8,0.8888888888888888,167.7255462948232,20.9656932868529,30.088891243338395,0,0.0,3.3878103301936084,0.37642337002151205,0.40145391383631623,0,0.0
2,mMTC,248.75,251.25,498,497,116582126.0,234571.68209255533,497,0.9979919678714859,167.880988046875,0.33778870834381286,0.36803061029982437,0,0.0,109.15631175184855,0.21918938102780833,0.2496944444444452,0,0.0
3,eMBB,494.25,5.75,7,1969,721771027.3632045,366567.3069391592,6,0.8571428571428571,174.6257178597113,29.104286309951885,37.993271516010985,0,0.0,2.6767127908550647,0.3823875415507235,0.4048222222222223,0,0.0
4,eMBB,495.25,4.75,13,1967,844031548.5610656,429095.8559029311,12,0.9230769230769231,195.669206085096,16.305767173758,29.163796366367738,0,0.0,5.059718144976733,0.3892090880751333,0.39322222222222225,0,0.0
5,eMBB,496.0,4.0,9,1974,728810663.2660103,369204.99658865767,8,0.8888888888888888,182.69798373407173,22.837247966758966,35.09494000995047,0,0.0,3.2577842736098233,0.3619760304010915,0.3971031425146546,0,0.0
6,eMBB,497.75,2.25,10,1980,666405425.2933805,336568.3966128184,9,0.9,184.00334231611166,20.444815812901297,33.913078055438184,0,0.0,3.8979055555555573,0.38979055555555575,0.42367222222222245,0,0.0
7,mMTC,259.5,240.5,519,518,118712064.0,229173.86872586873,518,0.9980732177263969,176.76070787495993,0.34123688778949796,0.37500861559083076,0,0.0,115.44777741245558,0.2224427310451938,0.2567777777777796,0,0.0
8,URLLC,101.0,399.0,404,404,137497213.0,340339.63613861386,404,1.0,24.812916156245908,0.061418109297638385,0.06249084670762268,0,0.0,0.6107648745316047,0.0015117942438901105,0.0015141681087225964,0,0.0
9,mMTC,213.75,286.25,428,427,99291086.0,232531.81733021076,427,0.9976635514018691,144.06070242304102,0.3373786941991593,0.36632372275132297,0,0.0,93.64337145422272,0.21879292395846428,0.24827777777777796,0,0.0
10,URLLC,165.0,335.0,660,660,225779513.0,342090.1712121212,660,1.0,40.49314521794702,0.06135325033022275,0.06251479816741301,0,0.0,0.9965216827088558,0.0015098813374376603,0.0015138238044577954,0,0.0
11,mMTC,239.5,260.5,479,479,107813962.0,225081.34029227556,479,1.0,161.49105870199546,0.33714208497285064,0.3727105599160937,0,0.0,106.46871223685707,0.22227288567193543,0.26107868096253695,0,0.0
12,mMTC,243.0,257.0,486,486,105340972.0,216750.97119341564,486,1.0,169.04868473492672,0.3478367998661044,0.3957390834627519,0,0.0,110.84124911009418,0.22806841380677814,0.2809746218049035,0,0.0
13,eMBB,497.0,3.0,10,1977,658980683.3191323,333323.56262980896,9,0.9,193.68852163543005,21.520946848381115,38.312500922436314,0,0.0,4.083636824043028,0.40836368240430276,0.4236842925945703,0,0.0
14,eMBB,495.25,4.75,11,1969,702948961.9528931,357008.1066291992,10,0.9090909090909091,196.13517095230512,19.613517095230513,37.893717919644374,0,0.0,4.216824513992385,0.3833476830902168,0.40339216354285723,0,0.0
15,eMBB,496.0,4.0,8,1975,739377504.2828684,374368.3565989207,7,0.875,188.62935804529766,26.94705114932824,37.48986614767005,0,0.0,2.884005519755284,0.3605006899694105,0.3980838574392356,0,0.0
16,mMTC,217.0,283.0,434,433,97456616.0,225073.01616628174,433,0.9976958525345622,146.76816532136485,0.3389565018969165,0.3690768136860678,0,0.0,95.9147509168836,0.2210017302232341,0.25111111111111184,0,0.0
17,URLLC,126.75,373.25,507,507,171474366.0,338213.7396449704,507,1.0,31.14487669184156,0.06142973706477625,0.06259891773446156,0,0.0,0.8029882289844037,0.0015838032129869895,0.0017484040886720567,0,0.0
18,mMTC,222.5,277.5,445,444,100776954.0,226975.12162162163,444,0.9977528089887641,149.41028766631806,0.3365096569061217,0.364460905249952,0,0.0,98.61143410953417,0.22159872833603184,0.2511488536332559,0,0.0
19,eMBB,495.25,4.75,9,1971,730408643.0504235,370577.69814836304,8,0.8888888888888888,184.20315519506335,23.025394399382918,38.78795752965449,0,0.0,3.2603338938611994,0.3622593215401333,0.39710374830493966,0,0.0
20,eMBB,496.25,3.75,7,1977,678761580.9076741,343329.07481420034,6,0.8571428571428571,169.95614023809495,28.326023373015826,38.795418519635874,0,0.0,2.6304214607594174,0.37577449439420246,0.42466453938176785,0,0.0
21,mMTC,218.75,281.25,438,437,98686696.0,225827.6796338673,437,0.997716894977169,149.65774805593404,0.34246624269092457,0.37918028501637724,0,0.0,97.78109359984931,0.22324450593572903,0.2610688861451251,0,0.0
22,mMTC,272.5,227.5,545,545,120186419.0,220525.53944954128,545,1.0,187.9273825680058,0.34482088544588224,0.37751703813481974,0,0.0,122.87588105456653,0.22546033221021383,0.2597295428664372,0,0.0
23,URLLC,153.75,346.25,615,614,209240517.0,340782.6009771987,614,0.9983739837398374,37.865936639260354,0.06167090657859992,0.06270515638095252,0,0.0,0.9244409084813271,0.0015031559487501253,0.0015176808376557386,0,0.0
24,mMTC,264.25,235.75,529,528,115681242.0,219093.26136363635,528,0.998109640831758,181.2073797448801,0.3431957949713638,0.3722700536583545,0,0.0,118.40724940505619,0.22383222949916104,0.2554311854396596,0,0.0
25,mMTC,209.5,290.5,419,419,94282059.0,225016.84725536994,419,1.0,141.07192015996372,0.33668716028630963,0.3654060455757961,0,0.0,92.95187642163347,0.22184218716380302,0.25115031006727173,0,0.0
26,eMBB,495.75,4.25,10,1972,728437390.6977333,369390.15755463147,9,0.9,193.24573087211863,21.47174787467985,36.58741944461461,0,0.0,3.8137852616843477,0.38137852616843476,0.3966470547323294,0,0.0
27,mMTC,279.75,220.25,560,559,127924330.0,228844.95527728085,559,0.9982142857142857,184.14446427295906,0.32941764628436326,0.3631482108600944,0,0.0,118.85174354646857,0.2122352563329796,0.24697028225339251,0,0.0
28,URLLC,160.25,339.75,641,641,215746588.0,336578.1404056162,641,1.0,39.42172828266013,0.061500356135195215,0.06264636684223024,0,0.0,1.0213029190410987,0.0015932962855555362,0.001759537625159818,0,0.0
29,eMBB,492.5,7.5,10,1959,715680807.4794463,365329.66180676175,9,0.9,197.08561613438084,21.89840179270898,38.98877767653038,0,0.0,3.858214602265529,0.3858214602265529,0.4009985614737336,0,0.0
30,eMBB,497.5,2.5,8,1981,730769370.6854782,368889.13209766697,7,0.875,194.30131820743384,27.75733117249055,38.389874288127075,0,0.0,3.057444750923486,0.38218059386543574,0.4004943069282546,0,0.0
31,eMBB,494.5,5.5,9,1968,718353194.0000013,365016.86686991935,8,0.8888888888888888,199.6541829407874,24.956772867598424,38.09557284471862,0,0.0,3.32220647418875,0.3691340526876389,0.4038740682676014,0,0.0
32,mMTC,282.0,218.0,564,564,127443462.0,225963.585106383,564,1.0,190.1337586309752,0.3371165933173319,0.37077478057034463,0,0.0,125.35684379822986,0.22226390744366997,0.2554445791006209,0,0.0
33,mMTC,258.25,241.75,517,516,112372873.0,217776.88565891472,516,0.9980657640232108,179.39171281473696,0.34765835816809487,0.3766093017828739,0,0.0,117.59696679794672,0.22746028394186987,0.2583557532995888,0,0.0
34,eMBB,492.25,7.75,9,1959,661881157.8988968,337866.84936135623,8,0.8888888888888888,188.3837513483622,23.547968918545276,41.699319151174144,0,0.0,3.5698478866898182,0.3966497651877576,0.42274204832259954,0,0.0
35,eMBB,498.25,1.75,8,1984,724212011.5160855,365026.21548189793,7,0.875,190.25127017051133,27.17875288150162,35.69229949233336,0,0.0,3.0086837349940723,0.37608546687425903,0.4024055555555559,0,0.0
36,eMBB,496.0,4.0,9,1974,726808037.9016824,368190.49539092317,8,0.8888888888888888,172.3272196292263,21.54090245365329,37.4883071196177,0,0.0,3.2920089143815434,0.3657787682646159,0.40006574452611066,0,0.0
37,URLLC,179.75,320.25,719,718,251411745.0,350155.6337047354,718,0.9986091794158554,44.29233150828714,0.06168848399482889,0.0628865412150814,0,0.0,1.1410726696259947,0.0015870273569207158,0.0017541908875489966,0,0.0
38,eMBB,496.5,3.5,7,1978,727089604.821699,367588.2734184525,6,0.8571428571428571,187.6694966985498,31.278249449758302,37.795379014971246,0,0.0,2.523741858749033,0.36053455124986183,0.40536674698084374,0,0.0
39,mMTC,227.5,272.5,455,455,102814610.0,225966.17582417582,455,1.0,153.67305880903757,0.33774298639348915,0.36467864411102024,0,0.0,101.47377347305883,0.22301928235837104,0.25116426971660233,0,0.0
40,eMBB,496.75,3.25,10,1976,731998339.0033138,370444.5035441871,9,0.9,199.89321622549957,22.21035735838884,35.08538442560246,0,0.0,3.7636317226879963,0.3763631722687996,0.39714336217467816,0,0.0
41,mMTC,250.25,249.75,501,500,113117653.0,226235.306,500,0.998003992015968,164.53211304418812,0.32906422608837627,0.36697391604427243,0,0.0,106.20181723374711,0.2119796751172597,0.25267118877795847,0,0.0
42,mMTC,230.5,269.5,461,460,102051699.0,221851.5195652174,460,0.9978308026030369,157.24122370685714,0.3418287471888199,0.3802132822065464,0,0.0,102.81753505155402,0.2230315293959957,0.26252342097197845,0,0.0
43,eMBB,499.75,0.25,9,1989,732247962.505768,368148.79965096427,8,0.8888888888888888,193.5348389358379,24.19185486697974,38.091174040300004,0,0.0,3.300788681794257,0.36675429797713965,0.40103394967925954,0,0.0
44,eMBB,494.0,6.0,8,1967,727006589.9318911,369601.72340207984,7,0.875,185.82520305311775,26.54645757901682,39.591760728499956,0,0.0,3.1823039518629126,0.3977879939828641,0.40145111457685667,0,0.0
45,mMTC,219.0,281.0,438,438,96683908.0,220739.51598173517,438,1.0,150.4230431364871,0.34343160533444544,0.37805112153997383,0,0.0,98.24368043511168,0.22430064026281207,0.25842587175940446,0,0.0
46,eMBB,496.5,3.5,10,1975,865355191.746942,438154.5274668061,9,0.9,185.16026875122427,20.573363194580473,33.38063932063973,0,0.0,3.8256530537702074,0.3825653053770207,0.39373646037416155,0,0.0
47,eMBB,496.75,3.25,11,1975,724281817.3898426,366724.97083030007,10,0.9090909090909091,185.5782109079444,18.55782109079444,39.087374545949714,0,0.0,4.1550792966647405,0.3777344815149764,0.39715034149358375,0,0.0
48,eMBB,495.75,4.25,8,1974,675047376.5675464,341969.2890413102,7,0.875,194.777474923426,27.82535356048943,40.21202631059676,0,0.0,3.0562421222130403,0.38203026527663003,0.4242187702647664,0,0.0
49,mMTC,250.5,249.5,501,501,110398730.0,220356.74650698603,501,1.0,171.4585735523925,0.3422326817413024,0.37171828412734165,0,0.0,112.10295853673125,0.22375840027291666,0.25691490895979313,0,0.0
50,eMBB,495.0,5.0,7,1972,736456303.3891317,373456.5433007767,6,0.8571428571428571,193.65406544850407,32.27567757475068,37.28829049840492,0,0.0,2.701925456493549,0.38598935092764985,0.3991090539825969,0,0.0
51,mMTC,200.0,300.0,400,400,92886423.0,232216.0575,400,1.0,135.5136816456091,0.33878420411402277,0.37016425460717595,0,0.0,88.31680753964781,0.22079201884911953,0.25411691409042225,0,0.0
52,eMBB,497.0,3.0,11,1976,695683963.8784823,352066.78333931294,10,0.9090909090909091,190.63307917966085,19.063307917966085,24.790762138050912,0,0.0,4.219852119053183,0.3836229199139257,0.4048794691384102,0,0.0
53,eMBB,495.5,4.5,14,1967,841992955.0768129,428059.45860539546,13,0.9285714285714286,191.60212212800252,14.738624779077117,31.68299722279826,0,0.0,5.401713692262052,0.3858366923044323,0.39470367401647577,0,0.0
54,eMBB,497.5,2.5,9,1980,731152050.9223263,369268.7125870335,8,0.8888888888888888,175.1621881454201,21.89527351817751,35.786766742051164,0,0.0,3.4213873747869905,0.3801541527541101,0.3962063805660814,0,0.0
55,eMBB,491.75,8.25,11,1955,656511888.12532,335811.70748098206,10,0.9090909090909091,192.92040742346066,19.292040742346067,38.31294861036654,0,0.0,4.325143607313489,0.3931948733921354,0.4247064574819792,0,0.0
56,eMBB,495.5,4.5,9,1972,712978362.1615638,361550.8935910567,8,0.8888888888888888,194.984634648536,24.373079331067,38.192754115504805,0,0.0,3.5500782559127217,0.394453139545858,0.4029450822172861,0,0.0
57,eMBB,493.0,7.0,9,1962,709337369.7612561,361537.9050770928,8,0.8888888888888888,180.34497526661957,22.543121908327446,29.08967774327405,0,0.0,3.5098881484562363,0.3899875720506929,0.4015308412891696,0,0.0
58,mMTC,265.0,235.0,530,530,119498468.0,225468.80754716982,530,1.0,179.4297954329413,0.3385467838357383,0.36761314079433194,0,0.0,116.9087203690258,0.22058249126231283,0.24986848978904092,0,0.0
59,URLLC,131.0,369.0,524,524,180567867.0,344595.16603053437,524,1.0,32.223941388943096,0.06149607135294484,0.06272293611023275,0,0.0,0.8699549034193111,0.0016602192813345632,0.002006403769295182,0,0.0
60,eMBB,491.0,9.0,12,1951,845445345.0121199,433339.49001133774,11,0.9166666666666666,191.31097877256775,17.391907161142523,32.48492279015543,0,0.0,4.695129133210477,0.3912607611008731,0.39326271024673953,0,0.0
61,eMBB,499.0,1.0,8,1987,748816019.1724323,376857.5838814455,7,0.875,196.40299128033638,28.0575701829052,37.79559767193564,0,0.0,2.8583877328834957,0.35729846661043696,0.39573240275256805,0,0.0
62,mMTC,248.5,251.5,497,497,111507157.0,224360.476861167,497,1.0,163.74052815093296,0.3294578031205895,0.37194674629041746,0,0.0,105.68542390959244,0.2126467281883148,0.25864218106995884,0,0.0
63,eMBB,491.25,8.75,9,1955,706980024.7761867,361626.6111387144,8,0.8888888888888888,197.60607681398687,24.70075960174836,33.49225313940742,0,0.0,3.473862666093737,0.3859847406770819,0.4024565258344889,0,0.0
64,eMBB,494.25,5.75,7,1969,738280518.817686,374952.0156514403,6,0.8571428571428571,190.13783118676258,31.6896385311271,38.18964870639307,0,0.0,2.585614668962818,0.36937352413754543,0.4000960186445951,0,0.0
65,mMTC,258.5,241.5,517,517,116909459.0,226130.48162475822,517,1.0,174.9764722370729,0.3384457876925975,0.38705452716049393,0,0.0,114.00575321075904,0.22051402942119736,0.2710236104761905,0,0.0
66,eMBB,496.75,3.25,10,1976,706470374.9544834,357525.4933980179,9,0.9,198.54815933353788,22.06090659261532,35.193146718227354,0,0.0,3.7231829922930775,0.37231829922930776,0.40441146662624805,0,0.0
67,mMTC,226.0,274.0,452,451,100685139.0,223248.64523281596,451,0.9977876106194691,152.70483978453126,0.33859166249341743,0.37199421417038603,0,0.0,101.13813903870673,0.22375694477589983,0.2569795001198275,0,0.0
68,mMTC,221.25,278.75,443,442,100391674.0,227130.48416289594,442,0.9977426636568849,154.10542279661485,0.3486548027072734,0.3863980309414793,0,0.0,101.23563874038899,0.22852288654715347,0.26700317944236107,0,0.0
69,eMBB,492.25,7.75,10,1958,660582411.3016031,337376.10383125796,9,0.9,189.30769471853586,21.03418830205954,38.21293873136297,0,0.0,3.9044205478592913,0.39044205478592914,0.42422992329406706,0,0.0
70,eMBB,498.5,1.5,8,1985,724782894.6766467,365129.9217514593,7,0.875,177.51220205847827,25.358886008354038,39.591181995111405,0,0.0,3.072881555990228,0.3841101944987785,0.4024707079656684,0,0.0
71,eMBB,491.75,8.25,9,1957,713327352.4705918,364500.4356007112,8,0.8888888888888888,183.4948610141623,22.936857626770287,37.386731552228724,0,0.0,3.5599062076786865,0.3955451341865207,0.3991396342043575,0,0.0
72,mMTC,249.5,250.5,499,499,112892359.0,226237.19238476953,499,1.0,169.09980072924336,0.33887735617082837,0.3670234121553453,0,0.0,110.23288019337011,0.22090757553781584,0.24982010896111476,0,0.0
73,eMBB,496.25,3.75,7,1978,722471254.9999998,365253.41506572283,7,1.0,200.34738431511485,28.621054902159266,36.68673517448519,0,0.0,2.6062876428163877,0.37232680611662683,0.40442358528429034,0,0.0
74,eMBB,493.0,7.0,9,1962,856182917.3712158,436382.7305663689,8,0.8888888888888888,186.4454556083824,23.3056819510478,29.781571186136983,0,0.0,3.5048155114937076,0.38942394572152306,0.39232856478490397,0,0.0
75,eMBB,496.75,3.25,8,1978,741927366.1587566,375089.6694432541,7,0.875,186.57697039379343,26.65385291339906,38.883870518910136,0,0.0,3.0302424701482913,0.3787803087685364,0.3972031115798963,0,0.0
76,eMBB,496.5,3.5,8,1977,671301936.7320821,339555.86076483666,7,0.875,187.71588316171275,26.816554737387538,41.8351170596677,0,0.0,3.295895802484403,0.4119869753105504,0.42328919356833583,0,0.0
77,eMBB,493.5,6.5,11,1962,703042264.2643552,358329.3905526785,10,0.9090909090909091,194.5773739074988,19.45773739074988,37.392589367849446,0,0.0,4.361658873063391,0.3965144430057628,0.4049078793422318,0,0.0
78,eMBB,489.75,10.25,12,1946,700701807.2215931,360072.87113134284,11,0.9166666666666666,195.68561621160723,17.789601473782476,35.6881916255958,0,0.0,4.579174089507811,0.38159784079231757,0.3996403583399719,0,0.0
79,mMTC,214.0,286.0,428,427,97201838.0,227638.9648711944,427,0.9976635514018691,145.231796224229,0.3401213026328548,0.371653772290775,0,0.0,95.28973307135203,0.22263956325082251,0.2569839325729619,0,0.0
80,mMTC,254.0,246.0,508,508,119678534.0,235587.6653543307,508,1.0,174.5764992640692,0.34365452611037245,0.37949321232574584,0,0.0,114.16724010992468,0.22473866163371,0.2599649085489091,0,0.0
81,eMBB,493.25,6.75,8,1964,870791496.9379437,443376.5259358165,7,0.875,194.57773756977156,27.796819652824507,33.18639250199958,0,0.0,3.1289755907818697,0.3911219488477337,0.3947699416976418,0,0.0
82,mMTC,282.75,217.25,566,565,129746163.0,229639.22654867257,565,0.9982332155477032,197.0081934869362,0.3486870681184711,0.38797053226082484,0,0.0,129.37560863212133,0.2285788138376702,0.2698808346241406,0,0.0
83,eMBB,496.25,3.75,10,1974,667221564.6361444,338004.845307064,9,0.9,192.6649985442969,21.407222060477434,41.914303564993915,0,0.0,4.16188630435691,0.41618863043569104,0.42282618979505904,0,0.0
84,mMTC,210.25,289.75,421,420,93731290.0,223169.7380952381,420,0.997624703087886,143.74955742528,0.3422608510125714,0.3774087560733447,0,0.0,93.94123111078251,0.22313831617763066,0.2598819269375422,0,0.0
85,eMBB,494.25,5.75,11,1965,711825604.734394,362252.2161498188,10,0.9090909090909091,186.30714310013792,18.630714310013794,36.88957631117367,0,0.0,4.0891437692900565,0.3717403426627324,0.40110453752547803,0,0.0
86,mMTC,260.0,240.0,520,520,114709296.0,220594.8,520,1.0,176.87185263339117,0.3401381781411369,0.3680978541306539,0,0.0,115.82332319501351,0.2227371599904106,0.25275196071102785,0,0.0
87,mMTC,251.0,249.0,502,501,110007708.0,219576.2634730539,501,0.99800796812749,171.90481910963322,0.34312339143639364,0.37370736289949374,0,0.0,112.56416410847996,0.2242314026065338,0.25710607252912343,0,0.0
88,mMTC,249.0,251.0,498,498,109194861.0,219266.7891566265,498,1.0,168.0293293063791,0.33740829177987774,0.36414181798839107,0,0.0,110.84933708709626,0.22258903029537402,0.2514128723681677,0,0.0
89,mMTC,262.25,237.75,525,524,118752720.0,226627.3282442748,524,0.9980952380952381,182.86464263976964,0.34897832564841536,0.37953012548937337,0,0.0,120.13278908858817,0.22882436016873936,0.2600041277359205,0,0.0
90,eMBB,497.25,2.75,7,1981,685666000.7641778,346121.1513196253,6,0.8571428571428571,169.72904296885625,28.288173828142707,38.60891352732855,0,0.0,2.9026911535647413,0.41467016479496305,0.4237835795925784,0,0.0
91,eMBB,496.0,4.0,8,1975,723265380.7716452,366210.3193780482,7,0.875,194.05371743276532,27.72195963325219,38.8935324126949,0,0.0,2.9159640278311847,0.3644955034788981,0.4034815111248582,0,0.0
92,mMTC,267.5,232.5,535,534,118577786.0,222055.77902621723,534,0.9981308411214953,184.09827316966488,0.3447533205424436,0.38334492744732684,0,0.0,120.7069584229546,0.22562048303356,0.2643306720681381,0,0.0
93,eMBB,495.75,4.25,10,1972,717999775.136322,364097.24905493006,9,0.9,181.41975798355517,20.157750887061685,38.6908037115658,0,0.0,3.7911203314037825,0.3791120331403782,0.4005280315045997,0,0.0
94,mMTC,201.5,298.5,403,403,94191824.0,233726.61042183623,403,1.0,139.00009211097156,0.34491337992796917,0.3754485089952553,0,0.0,91.1914244222943,0.22628145017939033,0.25852273919579005,0,0.0
95,mMTC,284.0,216.0,568,568,129608308.0,228183.64084507042,568,1.0,192.40304141632626,0.3387377489724054,0.368114615240984,0,0.0,127.35561224460393,0.2242176271912041,0.2541863451057693,0,0.0
96,mMTC,224.0,276.0,448,448,100942966.0,225319.1205357143,448,1.0,156.69523231181142,0.3497661435531505,0.3847824148153776,0,0.0,103.16056337495077,0.2302691146762294,0.26707094901849876,0,0.0
97,eMBB,496.75,3.25,10,1976,665448454.561645,336765.41222755314,9,0.9,177.70856689404957,19.745396321561064,39.41477204909735,0,0.0,4.00753201071927,0.400753201071927,0.42379895844848636,0,0.0
98,mMTC,264.0,236.0,528,528,120190229.0,227633.00946969696,528,1.0,180.99671537549088,0.34279680942327817,0.375847921406799,0,0.0,118.42661048977642,0.22429282289730382,0.2599351112480688,0,0.0
99,eMBB,489.0,11.0,9,1946,714030470.367099,366922.13276829344,8,0.8888888888888888,185.98438577589224,23.24804822198653,38.98608892696212,0,0.0,3.552573425247206,0.3947303805830229,0.3996670500194499,0,0.0
100,mMTC,224.0,276.0,448,448,101215403.0,225927.2388392857,448,1.0,152.2217470083051,0.3397806852863953,0.38818706104409173,0,0.0,99.56065210396645,0.22223359844635368,0.2725260391746032,0,0.0
101,eMBB,482.0,18.0,13,1914,667124870.8330725,348550.08925447887,12,0.9230769230769231,182.02421770170724,15.168684808475604,27.194517043969686,0,0.0,4.930528505617281,0.37927142350902165,0.4049501035361489,0,0.0
102,eMBB,494.5,5.5,13,1964,843756270.6692686,429611.13577865,12,0.9230769230769231,188.91100334449072,15.742583612040894,28.9833215446102,0,0.0,4.801704959447313,0.3693619199574856,0.39429500489488345,0,0.0
103,eMBB,494.75,5.25,8,1970,736539385.6352233,373877.86072853976,7,0.875,186.6121174563918,26.658873922341684,37.68532549825314,0,0.0,3.0661597992686884,0.38326997490858605,0.3957809351017336,0,0.0
104,URLLC,123.0,377.0,492,492,162698100.0,330687.1951219512,492,1.0,30.197559416501825,0.06137715328557281,0.06251283029513735,0,0.0,0.7705824475494475,0.001566224486889121,0.0015830448240285325,0,0.0
105,mMTC,253.0,247.0,506,505,117945965.0,233556.36633663366,505,0.9980237154150198,173.44226409755228,0.3434500279159451,0.38177885422956326,0,0.0,113.8759154475682,0.22505121629954192,0.2641619496792987,0,0.0
106,mMTC,234.5,265.5,469,469,106029820.0,226076.37526652453,469,1.0,162.5093446591462,0.34650180097898975,0.3845075364653005,0,0.0,106.69016312016916,0.22748435633298328,0.2686344439688173,0,0.0
107,eMBB,495.0,5.0,10,1969,719933671.4801202,365634.1653022449,9,0.9,198.92001736400837,22.102224151556484,37.08930926946664,0,0.0,3.6921952202161,0.36921952202161,0.4015233857956021,0,0.0
108,eMBB,497.75,2.25,9,1981,721745554.6494302,364333.94984827365,8,0.8888888888888888,200.54597035523346,25.068246294404183,37.39349517719442,0,0.0,3.4154758854567597,0.37949732060630664,0.4030149660771142,0,0.0
109,mMTC,280.75,219.25,562,561,127888707.0,227965.60962566844,561,0.998220640569395,190.1897267763895,0.33901912081352853,0.3792761732917837,0,0.0,126.00907616228028,0.22421543801117488,0.26827741691318285,0,0.0
110,eMBB,497.5,2.5,9,1980,740088458.8046463,373782.0499013365,8,0.8888888888888888,198.29464357819487,24.786830447274358,35.99602043367345,0,0.0,3.257350651509692,0.3619278501677436,0.39625999903182063,0,0.0
111,eMBB,495.75,4.25,9,1973,669582860.091075,339372.96507403697,8,0.8888888888888888,181.1228540228398,22.640356752854974,39.311373219616776,0,0.0,3.713361664587801,0.41259574050975567,0.4238103735468881,0,0.0
112,eMBB,496.25,3.75,8,1976,717188533.0255721,362949.66246233403,7,0.875,192.05351575785974,27.436216536837104,31.695216190247848,0,0.0,2.9145780235149594,0.36432225293936993,0.40349163378965724,0,0.0
113,eMBB,496.75,3.25,8,1978,736042344.870643,372114.4311782826,7,0.875,196.73761715231342,28.10537387890192,37.296461597566925,0,0.0,2.896178173006339,0.36202227162579237,0.4021022648433139,0,0.0
