metric,baseline,ml_policy,delta_ml_minus_baseline,delta_pct
connected_clients_ratio,0.7617491333333333,0.7613019333333334,-0.0004471999999998699,-0.05870699163686216
coverage_ratio,0.9994115333333334,0.9994096000000001,-1.9333333333149127e-06,-0.00019344717054311687
block_ratio,0.0,0.0,0.0,0.0
handover_ratio,0.0,0.0,0.0,0.0
avg_slice_load_ratio,0.7233772622055894,0.7690659807953,0.045688718589710575,6.316029128480609
total_bandwidth_usage,1822910700.7580853,1938046271.604156,115135570.84607077,6.316029128480616
avg_latency_ms,0.7466019804547821,0.751021588750392,0.004419608295609945,0.5919631090340536
p95_latency_ms,0.44809836491439853,0.457530755646914,0.00943239073251545,2.1049821804900684
latency_violation_ratio,0.0,5.780346820808999e-07,5.780346820808999e-07,0.0
avg_state_sla_violation_share,0.001,0.001,0.0,0.0
bandwidth_jain_fairness,0.428526496112002,0.4221459386325057,-0.006380557479496285,-1.4889528506140792
bandwidth_jain_fairness_min,0.3333333333333333,0.3333333333333333,0.0,0.0
