effective_time,slice_name,observed_sla_violation_share,observed_latency_violation_ratio,observed_near_breach_share,observed_request_count,observed_avg_load,safety_margin_before,safety_margin_after,feedback_reason
4,URLLC,0.0,0.0,0.0,302.0,0.22176878287981858,1.25,1.2,decrease_margin_after_safe_window
4,eMBB,0.0,0.0,0.0,432.0,0.9990065762650444,0.9,0.85,decrease_margin_after_safe_window
4,mMTC,0.0,0.0,0.0,551.0,0.27285819463340893,0.9,0.85,decrease_margin_after_safe_window
5,URLLC,0.0,0.0,0.0,266.0,0.18019656530612244,1.2,1.15,decrease_margin_after_safe_window
5,eMBB,0.0,0.0,0.0,274.0,0.9991237954718791,0.85,0.7999999999999999,decrease_margin_after_safe_window
5,mMTC,0.0,0.0,0.0,527.0,0.374233055218579,0.85,0.7999999999999999,decrease_margin_after_safe_window
6,URLLC,0.0,0.0,0.0,298.0,0.21156786530612243,1.15,1.0999999999999999,decrease_margin_after_safe_window
6,eMBB,0.0,0.0,0.0,211.0,0.9989180547708373,0.7999999999999999,0.7499999999999999,decrease_margin_after_safe_window
6,mMTC,0.0,0.0,0.0,554.0,0.40754906425777876,0.7999999999999999,0.7499999999999999,decrease_margin_after_safe_window
7,URLLC,0.0,0.0,0.0,279.0,0.19188567176870747,1.0999999999999999,1.0499999999999998,decrease_margin_after_safe_window
7,eMBB,0.0,0.0,0.0,121.0,0.9992163608128016,0.7499999999999999,0.6999999999999998,decrease_margin_after_safe_window
7,mMTC,0.0,0.0,0.0,541.0,0.45064212015000044,0.7499999999999999,0.6999999999999998,decrease_margin_after_safe_window
8,URLLC,0.0,0.0,0.0,300.0,0.2045269612244898,1.0499999999999998,0.9999999999999998,decrease_margin_after_safe_window
8,eMBB,0.0,0.0,0.0,83.0,0.9997477036376445,0.6999999999999998,0.6499999999999998,decrease_margin_after_safe_window
8,mMTC,0.0,0.0,0.0,556.0,0.4676878801977518,0.6999999999999998,0.6499999999999998,decrease_margin_after_safe_window
