effective_time,slice_name,observed_sla_violation_share,observed_latency_violation_ratio,observed_near_breach_share,observed_request_count,observed_avg_load,safety_margin_before,safety_margin_after,feedback_reason
4,URLLC,1.0,0.0,1.0,53.0,0.10269259462759463,1.25,1.5,increase_margin_due_to_sla_pressure
4,eMBB,1.0,0.0,1.0,205.0,0.9980184005846789,0.9,1.15,increase_margin_due_to_sla_pressure
4,mMTC,1.0,0.0,1.0,123.0,0.10488922733516483,0.9,1.15,increase_margin_due_to_sla_pressure
5,URLLC,1.0,0.0,1.0,52.0,0.07670194368131869,1.5,1.75,increase_margin_due_to_sla_pressure
5,eMBB,1.0,0.0,1.0,138.0,0.9956497591885091,1.15,1.4,increase_margin_due_to_sla_pressure
5,mMTC,1.0,0.0,1.0,113.0,0.15611861540446006,1.15,1.4,increase_margin_due_to_sla_pressure
6,URLLC,0.0,0.0,1.0,52.0,0.08912704395604397,1.75,1.7,decrease_margin_after_safe_window
6,eMBB,0.0,0.0,1.0,125.0,0.9961430226570295,1.4,1.3499999999999999,decrease_margin_after_safe_window
6,mMTC,0.0,0.0,1.0,118.0,0.16353402642549253,1.4,1.3499999999999999,decrease_margin_after_safe_window
7,URLLC,0.0,0.0,0.0,62.0,0.08498045398351649,1.7,1.65,decrease_margin_after_safe_window
7,eMBB,0.0,0.0,0.0,113.0,0.9950901410578423,1.3499999999999999,1.2999999999999998,decrease_margin_after_safe_window
7,mMTC,0.0,0.0,0.0,110.0,0.20275344819483196,1.3499999999999999,1.2999999999999998,decrease_margin_after_safe_window
8,URLLC,0.0,0.0,0.0,52.0,0.08279981936813186,1.65,1.5999999999999999,decrease_margin_after_safe_window
8,eMBB,0.0,0.0,0.0,56.0,0.9993814150572752,1.2999999999999998,1.2499999999999998,decrease_margin_after_safe_window
8,mMTC,0.0,0.0,0.0,110.0,0.1896439395604395,1.2999999999999998,1.2499999999999998,decrease_margin_after_safe_window
9,URLLC,0.0,0.0,0.0,51.0,0.07133291895604395,1.5999999999999999,1.5499999999999998,decrease_margin_after_safe_window
9,eMBB,0.0,0.0,0.0,53.0,0.9974885010099109,1.2499999999999998,1.1999999999999997,decrease_margin_after_safe_window
