metric,baseline,ml_policy,delta_ml_minus_baseline,delta_pct
connected_clients_ratio,0.7281685,0.7252515,-0.0029169999999999474,-0.4005940932627472
coverage_ratio,0.9991493333333333,0.9993573333333332,0.00020799999999987495,0.02081770893105151
block_ratio,0.0,0.0,0.0,0.0
handover_ratio,0.0,0.0,0.0,0.0
avg_slice_load_ratio,0.6702182128418984,0.7277216753759239,0.057503462534025496,8.579811982458065
total_bandwidth_usage,315002560.0356923,342029187.42668426,27026627.390991986,8.579811982458065
avg_latency_ms,1.1227562062803464,1.110977734737569,-0.011778471542777558,-1.0490675960544666
p95_latency_ms,9.26523219612407,8.995994830594432,-0.2692373655296372,-2.905889025018363
latency_violation_ratio,0.0,0.0,0.0,0.0
avg_state_sla_violation_share,0.0025,0.0025,0.0,0.0
bandwidth_jain_fairness,0.3729612190653364,0.36964390431486877,-0.003317314750467648,-0.8894529996392229
bandwidth_jain_fairness_min,0.3333333333333333,0.3333333333333333,0.0,0.0
