base_station_id,slice_name,avg_bandwidth_usage_mbps_baseline,avg_bandwidth_usage_mbps_ml,avg_bandwidth_usage_mbps_delta,avg_bandwidth_usage_mbps_delta_pct,avg_slice_capacity_mbps_baseline,avg_slice_capacity_mbps_ml,avg_slice_capacity_mbps_delta,avg_slice_capacity_mbps_delta_pct,avg_slice_load_ratio_baseline,avg_slice_load_ratio_ml,avg_slice_load_ratio_delta,avg_slice_load_ratio_delta_pct,avg_remaining_capacity_ratio_baseline,avg_remaining_capacity_ratio_ml,avg_remaining_capacity_ratio_delta,avg_remaining_capacity_ratio_delta_pct,avg_request_count_per_window_baseline,avg_request_count_per_window_ml,avg_request_count_per_window_delta,avg_request_count_per_window_delta_pct,total_request_count_baseline,total_request_count_ml,total_request_count_delta,total_request_count_delta_pct,avg_requested_usage_mbps_per_window_baseline,avg_requested_usage_mbps_per_window_ml,avg_requested_usage_mbps_per_window_delta,avg_requested_usage_mbps_per_window_delta_pct,avg_clients_seen_per_window_baseline,avg_clients_seen_per_window_ml,avg_clients_seen_per_window_delta,avg_clients_seen_per_window_delta_pct,avg_state_sla_violation_share_baseline,avg_state_sla_violation_share_ml,avg_state_sla_violation_share_delta,avg_state_sla_violation_share_delta_pct,avg_sla_safety_margin_baseline,avg_sla_safety_margin_ml,avg_sla_safety_margin_delta,avg_sla_safety_margin_delta_pct,avg_sla_breach_count_per_window_baseline,avg_sla_breach_count_per_window_ml,avg_sla_breach_count_per_window_delta,avg_sla_breach_count_per_window_delta_pct
BS_0,URLLC,0.8879950969999999,0.8670457970000001,-0.020949299999999837,-2.3591684313094623,14.4,15.9968,1.5968,11.088888888888889,0.06166632618055556,0.0542009629236111,-0.0074653632569444545,-12.106061313084044,0.9383336738194444,0.9457990370763889,0.007465363256944468,0.7955979269673918,6.3485,6.2055,-0.1429999999999998,-2.2525005906907114,12697.0,12411.0,-286.0,-2.2525005906907145,0.8879950969999999,0.8670457970000001,-0.020949299999999837,-2.3591684313094623,33.0,32.5735,-0.4264999999999972,-1.292424242424234,0.0025,0.0025,0.0,0.0,0.2995667472092395,0.23982553003160684,-0.059741217177632644,-19.942539595659785,0.0025,0.0025,0.0,0.0
BS_0,eMBB,49.293517102517896,55.468114648684434,6.174597546166538,12.526185813288501,49.6,55.97137369463885,6.371373694638848,12.845511481126708,0.9938209093249576,0.9909524093314152,-0.0028684999935424393,-0.28863349187237747,0.006179090675042374,0.009047590668584756,0.002868499993542382,46.422688133197056,3.1,3.4625,0.3624999999999998,11.693548387096769,6200.0,6925.0,725.0,11.693548387096774,50.673135856,57.0225637115,6.3494278554999966,12.530165635581413,294.95,296.1685,1.218500000000006,0.4131208679437213,0.0025,0.0025,0.0,0.0,0.30672801785656695,0.24761016565174682,-0.05911785220482013,-19.27370463837607,0.0025,0.0025,0.0,0.0
BS_0,mMTC,1.3045228655,1.3075173359999999,0.0029944704999997906,0.22954526740718065,16.0,8.031826305361154,-7.968173694638846,-49.801085591492786,0.08153267909375,0.16296271177876315,0.08143003268501314,99.87410396680473,0.91846732090625,0.8370372882212368,-0.08143003268501325,-8.865860638859353,16.2755,16.342,0.06649999999999778,0.4085895978618032,32551.0,32684.0,133.0,0.4085895978618168,1.3050050895,1.3080330134999998,0.0030279239999997376,0.23202392269288827,99.2705,99.2925,0.02200000000000557,0.022161669378118948,0.0025,0.0025,0.0,0.0,0.3137413686328262,0.2552359311571901,-0.05850543747563608,-18.647664390125556,0.0025,0.0025,0.0,0.0
BS_1,URLLC,1.2353810079999998,1.2351980200000001,-0.0001829879999997175,-0.01481227239327266,10.4,12.9948,2.5947999999999993,24.949999999999992,0.11878663538461538,0.09506881398076922,-0.023717821403846165,-19.966742325052817,0.8812133646153847,0.9049311860192307,0.02371782140384604,2.691495880137717,8.8145,8.807,-0.007500000000000284,-0.08508707243746422,17629.0,17614.0,-15.0,-0.085087072437461,1.2353810079999998,1.2351980200000001,-0.0001829879999997175,-0.01481227239327266,44.0,44.425,0.42499999999999716,0.9659090909090845,0.0025,0.0025,0.0,0.0,0.2995667472092395,0.23982553003160684,-0.059741217177632644,-19.942539595659785,0.0025,0.0025,0.0,0.0
BS_1,eMBB,41.37744130542308,44.84563127634651,3.468189970923426,8.381837691034008,41.6,45.41629516482388,3.8162951648238774,9.173786453903551,0.9946500313803627,0.987394396537251,-0.007255634843111647,-0.7294661050824448,0.005349968619637393,0.012605603462748936,0.007255634843111544,135.62013834023782,2.6175,2.8345,0.21699999999999964,8.29035339063991,5235.0,5669.0,434.0,8.290353390639924,42.821846105999995,46.4834189965,3.661572890500004,8.550712366384786,285.473,286.176,0.7029999999999745,0.246257964851308,0.0025,0.0025,0.0,0.0,0.30672801785656695,0.24761016565174682,-0.05911785220482013,-19.27370463837607,0.0025,0.0025,0.0,0.0
BS_1,mMTC,1.350899746,1.341100411,-0.009799335000000076,-0.7253932076762768,13.0,6.588904835176121,-6.411095164823879,-49.31611665249138,0.10391536507692307,0.20375310655082454,0.09983774147390147,96.07601474526587,0.8960846349230769,0.7962468934491754,-0.09983774147390145,-11.14155265952885,16.864,16.7375,-0.12650000000000006,-0.7501185958254273,33728.0,33475.0,-253.0,-0.750118595825427,1.35155823,1.3419688345,-0.009589395499999931,-0.709506648485277,100.6175,100.682,0.06449999999999534,0.06410415683156045,0.0025,0.0025,0.0,0.0,0.3137413686328262,0.2552359311571901,-0.05850543747563608,-18.647664390125556,0.0025,0.0025,0.0,0.0
BS_2,URLLC,1.1622899375,1.172957997,0.010668059499999938,0.917848391851877,10.4,12.9948,2.5947999999999993,24.949999999999992,0.11175864783653845,0.09027807322115385,-0.021480574615384607,-19.220503317830705,0.8882413521634616,0.9097219267788462,0.021480574615384662,2.4183263437426215,8.271,8.3755,0.10449999999999982,1.2634506105670391,16542.0,16751.0,209.0,1.2634506105670416,1.1622899375,1.172957997,0.010668059499999938,0.917848391851877,42.0,42.0,0.0,0.0,0.0025,0.0025,0.0,0.0,0.2995667472092395,0.23982553003160684,-0.059741217177632644,-19.942539595659785,0.0025,0.0025,0.0,0.0
BS_2,eMBB,41.3687449172541,44.815844009899386,3.4470990926452885,8.332617050723167,41.6,45.35507587262942,3.755075872629419,9.026624693820718,0.994440983587839,0.9880707210497492,-0.006370262538089699,-0.640587289062289,0.00555901641216112,0.01192927895025066,0.006370262538089539,114.5933392848725,2.6005,2.84,0.23950000000000005,9.209767352432227,5201.0,5680.0,479.0,9.209767352432225,42.6418606845,46.3944359575,3.752575272999998,8.800214654713768,269.0315,269.828,0.7964999999999804,0.29606198530654604,0.0025,0.0025,0.0,0.0,0.30672801785656695,0.24761016565174682,-0.05911785220482013,-19.27370463837607,0.0025,0.0025,0.0,0.0
BS_2,mMTC,1.4859195385,1.51339663,0.027477091499999995,1.84916415647495,13.0,6.650124127370585,-6.349875872629415,-48.84519902022627,0.11430150296153846,0.2278068483759986,0.11350534541446014,99.30345837416834,0.8856984970384615,0.7721931516240014,-0.11350534541446011,-12.815348088993217,18.6315,18.8485,0.2170000000000023,1.1646942006816536,37263.0,37697.0,434.0,1.1646942006816412,1.4868172135000002,1.5141827460000001,0.027365532499999956,1.8405445034888248,116.131,117.0,0.8689999999999998,0.7482928761484873,0.0025,0.0025,0.0,0.0,0.3137413686328262,0.2552359311571901,-0.05850543747563608,-18.647664390125556,0.0025,0.0025,0.0,0.0
BS_3,URLLC,0.9465332685,0.9443705555,-0.0021627129999999273,-0.2284877956194022,10.4,12.9948,2.5947999999999993,24.949999999999992,0.09101281427884615,0.0726758491153846,-0.018336965163461547,-20.147674048712013,0.9089871857211539,0.9273241508846154,0.018336965163461505,2.0172963328315454,6.724,6.77,0.045999999999999375,0.6841165972635243,13448.0,13540.0,92.0,0.6841165972635336,0.9465332685,0.9443705555,-0.0021627129999999273,-0.2284877956194022,35.0,35.0,0.0,0.0,0.0025,0.0025,0.0,0.0,0.2995667472092395,0.23982553003160684,-0.059741217177632644,-19.942539595659785,0.0025,0.0025,0.0,0.0
