client_id,slice_name,total_connected_time,total_unconnected_time,total_request_count,total_consume_time,total_usage,avg_served_bandwidth,total_completed_requests,completion_ratio,total_latency_ms,avg_completion_latency_ms,max_completion_latency_ms,completion_latency_violation_count,completion_latency_violation_ratio,total_first_service_latency_ms,avg_first_service_latency_ms,max_first_service_latency_ms,first_service_latency_violation_count,first_service_latency_violation_ratio
0,URLLC,164.5,335.5,658,657,91734545.0,139626.400304414,657,0.9984802431610942,40.47699904132767,0.061608826546921874,0.06343046923076934,0,0.0,0.9870915032507294,0.001500139062691078,0.001522594073830392,0,0.0
1,URLLC,180.75,319.25,723,723,99961219.0,138258.94744121714,723,1.0,43.941531646920694,0.06077666894456527,0.0624201280769231,0,0.0,1.0855328603821972,0.0015014285759089865,0.0015178562196372057,0,0.0
2,eMBB,493.0,7.0,23,1948,311760201.34367764,160041.17112098442,22,0.9565217391304348,199.2322116905871,9.056009622299413,17.241169896382047,0,0.0,5.144609322238208,0.2236786661842699,0.2288888888888892,0,0.0
3,eMBB,491.5,8.5,19,1946,295456817.76660687,151827.75835899633,18,0.9473684210526315,190.24728115847006,10.569293397692782,19.124087793416617,0,0.0,4.432985577525513,0.23331503039607965,0.23758888888888888,0,0.0
4,URLLC,183.0,317.0,732,732,103018243.0,140735.30464480876,732,1.0,45.27837768840482,0.06185570722459675,0.0639553695703736,0,0.0,1.1028108764817046,0.001506572235630744,0.0015404213927501596,0,0.0
5,eMBB,492.0,8.0,17,1950,275916176.0098174,141495.47487682945,16,0.9411764705882353,185.68810756733942,11.605506722958713,20.23596220939319,0,0.0,4.065561650234788,0.23915068530792874,0.24631705166133241,0,0.0
6,eMBB,490.5,9.5,20,1941,351395794.7544082,181038.53413416186,19,0.95,194.97784063054524,10.26199161213396,16.32687419390211,0,0.0,4.5720369626457265,0.22860184813228632,0.23758888888888896,0,0.0
7,eMBB,490.25,9.75,21,1939,277236549.45339465,142979.13844940416,20,0.9523809523809523,193.8747045095848,9.69373522547924,19.2340178018091,0,0.0,4.979877835733339,0.23713703979682565,0.24488066871794875,0,0.0
8,eMBB,491.75,8.25,17,1949,285156033.4777899,146308.89352375056,16,0.9411764705882353,197.5779920721608,12.34862450451005,19.73227708768844,0,0.0,4.0509052620722805,0.2382885448277812,0.24197097984273538,0,0.0
9,eMBB,487.75,12.25,20,1930,310421829.4565398,160840.32614328488,19,0.95,193.97464993117924,10.209192101641014,18.319568272922016,0,0.0,4.463392342586305,0.22316961712931524,0.22892036054846726,0,0.0
10,eMBB,494.75,5.25,18,1960,297823619.0699202,151950.8260560817,17,0.9444444444444444,198.70197294302295,11.688351349589585,19.3253611431319,0,0.0,4.176622626693983,0.23203459037188795,0.23761713997078615,0,0.0
11,eMBB,491.0,9.0,21,1942,311703331.2660849,160506.34977656277,20,0.9523809523809523,195.86561884018104,9.793280942009051,17.71907238765967,0,0.0,4.757874656022983,0.22656545981061824,0.22890476343931626,0,0.0
12,eMBB,491.5,8.5,19,1946,273823054.97167015,140710.71684052938,18,0.9473684210526315,189.2418779710212,10.513437665056735,19.537873335722185,0,0.0,4.636040388540453,0.2440021257126554,0.24680026737055696,0,0.0
