effective_time,slice_name,observed_sla_violation_share,observed_latency_violation_ratio,observed_near_breach_share,observed_request_count,observed_avg_load,safety_margin_before,safety_margin_after,feedback_reason
4,URLLC,0.0,0.0,0.0,109.0,0.19506025717338218,1.25,1.2,decrease_margin_after_safe_window
4,eMBB,0.0,0.0,0.0,171.0,0.9979887233268602,0.9,0.85,decrease_margin_after_safe_window
4,mMTC,0.0,0.0,0.0,183.0,0.1725902603021978,0.9,0.85,decrease_margin_after_safe_window
5,URLLC,0.0,0.0,0.0,107.0,0.16464776167582418,1.2,1.15,decrease_margin_after_safe_window
5,eMBB,0.0,0.0,0.0,136.0,0.9982506511044197,0.85,0.7999999999999999,decrease_margin_after_safe_window
5,mMTC,0.0,0.0,0.0,210.0,0.22557399217442328,0.85,0.7999999999999999,decrease_margin_after_safe_window
6,URLLC,0.0,0.0,0.0,103.0,0.15600648626373628,1.15,1.0999999999999999,decrease_margin_after_safe_window
6,eMBB,0.0,0.0,0.0,71.0,0.9977391936414822,0.7999999999999999,0.7499999999999999,decrease_margin_after_safe_window
6,mMTC,0.0,0.0,0.0,213.0,0.32150181462419125,0.7999999999999999,0.7499999999999999,decrease_margin_after_safe_window
7,URLLC,0.0,0.0,0.0,97.0,0.13930352747252747,1.0999999999999999,1.0499999999999998,decrease_margin_after_safe_window
7,eMBB,0.0,0.0,0.0,27.0,0.9983269216186189,0.7499999999999999,0.6999999999999998,decrease_margin_after_safe_window
7,mMTC,0.0,0.0,0.0,200.0,0.34070828231379474,0.7499999999999999,0.6999999999999998,decrease_margin_after_safe_window
8,URLLC,0.0,0.0,0.0,102.0,0.14579373351648353,1.0499999999999998,0.9999999999999998,decrease_margin_after_safe_window
8,eMBB,0.0,0.0,0.0,29.0,0.9978357893764566,0.6999999999999998,0.6499999999999998,decrease_margin_after_safe_window
8,mMTC,0.0,0.0,0.0,183.0,0.32861983637963954,0.6999999999999998,0.6499999999999998,decrease_margin_after_safe_window
9,URLLC,0.0,0.0,0.0,107.0,0.15559429258241758,0.9999999999999998,0.9499999999999997,decrease_margin_after_safe_window
9,eMBB,0.0,0.0,0.0,26.0,0.998282712422394,0.6499999999999998,0.5999999999999998,decrease_margin_after_safe_window
9,mMTC,0.0,0.0,0.0,212.0,0.3091836538208274,0.6499999999999998,0.5999999999999998,decrease_margin_after_safe_window
10,URLLC,0.0,0.0,1.0,106.0,0.1556848282967033,0.9499999999999997,0.8999999999999997,decrease_margin_after_safe_window
