effective_time,slice_name,observed_sla_violation_share,observed_latency_violation_ratio,observed_near_breach_share,observed_request_count,observed_avg_load,safety_margin_before,safety_margin_after,feedback_reason
4,URLLC,0.0,0.0,0.0,104.0,0.19099455815018315,1.25,1.2,decrease_margin_after_safe_window
4,eMBB,0.0,0.0,0.0,170.0,0.9966307769810643,0.9,0.85,decrease_margin_after_safe_window
4,mMTC,0.0,0.0,0.0,215.0,0.20908604052197804,0.9,0.85,decrease_margin_after_safe_window
5,URLLC,0.0,0.0,0.0,102.0,0.1492219464285714,1.2,1.15,decrease_margin_after_safe_window
5,eMBB,0.0,0.0,0.0,101.0,0.9970066506012853,0.85,0.7999999999999999,decrease_margin_after_safe_window
5,mMTC,0.0,0.0,0.0,224.0,0.25711523903160977,0.85,0.7999999999999999,decrease_margin_after_safe_window
6,URLLC,0.0,0.0,0.0,108.0,0.16569376854395607,1.15,1.0999999999999999,decrease_margin_after_safe_window
6,eMBB,0.0,0.0,0.0,63.0,0.9993861264475432,0.7999999999999999,0.7499999999999999,decrease_margin_after_safe_window
6,mMTC,0.0,0.0,0.0,212.0,0.33451480415624735,0.7999999999999999,0.7499999999999999,decrease_margin_after_safe_window
7,URLLC,0.0,0.0,0.0,106.0,0.14976686607142858,1.0999999999999999,1.0499999999999998,decrease_margin_after_safe_window
7,eMBB,0.0,0.0,0.0,55.0,0.9966881939711755,0.7499999999999999,0.6999999999999998,decrease_margin_after_safe_window
7,mMTC,0.0,0.0,0.0,209.0,0.36539442750987494,0.7499999999999999,0.6999999999999998,decrease_margin_after_safe_window
8,URLLC,0.0,0.0,1.0,114.0,0.15766560164835167,1.0499999999999998,0.9999999999999998,decrease_margin_after_safe_window
8,eMBB,0.0,0.0,1.0,17.0,0.99786104551057,0.6999999999999998,0.6499999999999998,decrease_margin_after_safe_window
8,mMTC,0.0,0.0,0.0,223.0,0.34387610771173305,0.6999999999999998,0.6499999999999998,decrease_margin_after_safe_window
9,URLLC,0.0,0.0,1.0,103.0,0.15828307692307694,0.9999999999999998,0.9499999999999997,decrease_margin_after_safe_window
9,eMBB,0.0,0.0,1.0,24.0,0.9984105183524308,0.6499999999999998,0.5999999999999998,decrease_margin_after_safe_window
9,mMTC,0.0,0.0,0.0,209.0,0.36566299883852604,0.6499999999999998,0.5999999999999998,decrease_margin_after_safe_window
10,URLLC,0.0,0.0,1.0,116.0,0.16212205975274727,0.9499999999999997,0.8999999999999997,decrease_margin_after_safe_window
10,eMBB,0.0,0.0,1.0,9.0,0.9974465983135339,0.5999999999999998,0.5499999999999997,decrease_margin_after_safe_window
10,mMTC,0.0,0.0,0.0,223.0,0.35058401426052993,0.5999999999999998,0.5499999999999997,decrease_margin_after_safe_window
11,URLLC,0.0,0.0,1.0,112.0,0.17118284065934067,0.8999999999999997,0.8499999999999996,decrease_margin_after_safe_window
11,eMBB,0.0,0.0,1.0,10.0,0.9962801519000194,0.5499999999999997,0.4999999999999997,decrease_margin_after_safe_window
11,mMTC,0.0,0.0,0.0,229.0,0.35346840898766907,0.5499999999999997,0.4999999999999997,decrease_margin_after_safe_window
12,URLLC,0.0,0.0,0.0,105.0,0.14512973351648353,0.8499999999999996,0.7999999999999996,decrease_margin_after_safe_window
12,eMBB,0.0,0.0,0.0,6.0,0.995433667766564,0.4999999999999997,0.45,decrease_margin_after_safe_window
12,mMTC,0.0,0.0,0.0,203.0,0.3620107985165844,0.4999999999999997,0.45,decrease_margin_after_safe_window
13,URLLC,0.0,0.0,0.0,105.0,0.1389485892857143,0.7999999999999996,0.7499999999999996,decrease_margin_after_safe_window
13,eMBB,0.0,0.0,0.0,1.0,0.9953418145163857,0.45,0.45,decrease_margin_after_safe_window
13,mMTC,0.0,0.0,0.0,240.0,0.29609317337399477,0.45,0.45,decrease_margin_after_safe_window
14,URLLC,0.0,0.0,0.0,99.0,0.14042145467032968,0.7499999999999996,0.6999999999999995,decrease_margin_after_safe_window
14,eMBB,0.0,0.0,0.0,1.0,0.9945357042926508,0.45,0.45,decrease_margin_after_safe_window
14,mMTC,0.0,0.0,0.0,214.0,0.3918996736893726,0.45,0.45,decrease_margin_after_safe_window
15,URLLC,0.0,0.0,0.0,130.0,0.1904416888736264,0.6999999999999995,0.6499999999999995,decrease_margin_after_safe_window
15,eMBB,0.0,0.0,0.0,2.0,0.9945887781087231,0.45,0.45,decrease_margin_after_safe_window
15,mMTC,0.0,0.0,0.0,215.0,0.33806544329054855,0.45,0.45,decrease_margin_after_safe_window
16,URLLC,0.0,0.0,0.0,98.0,0.13175605975274726,0.6499999999999995,0.5999999999999994,decrease_margin_after_safe_window
16,eMBB,0.0,0.0,0.0,1.0,0.9942599093193211,0.45,0.45,decrease_margin_after_safe_window
16,mMTC,0.0,0.0,0.0,210.0,0.3249363481604572,0.45,0.45,decrease_margin_after_safe_window
17,URLLC,0.0,0.0,0.0,123.0,0.18677537568681318,0.5999999999999994,0.5499999999999994,decrease_margin_after_safe_window
17,eMBB,0.0,0.0,0.0,0.0,0.9938942242391259,0.45,0.45,decrease_margin_after_safe_window
17,mMTC,0.0,0.0,0.0,218.0,0.32236681584151217,0.45,0.45,decrease_margin_after_safe_window
18,URLLC,0.0,0.0,0.0,106.0,0.163522426510989,0.5499999999999994,0.4999999999999994,decrease_margin_after_safe_window
18,eMBB,0.0,0.0,0.0,0.0,0.9931545868941851,0.45,0.45,decrease_margin_after_safe_window
18,mMTC,0.0,0.0,0.0,216.0,0.31886267608725616,0.45,0.45,decrease_margin_after_safe_window
19,URLLC,0.0,0.0,0.0,103.0,0.15758585714285717,0.4999999999999994,0.45,decrease_margin_after_safe_window
