effective_time,slice_name,observed_sla_violation_share,observed_latency_violation_ratio,observed_near_breach_share,observed_request_count,observed_avg_load,safety_margin_before,safety_margin_after,feedback_reason
4,URLLC,0.0,0.0,0.0,297.0,0.21993053968253967,1.25,1.2,decrease_margin_after_safe_window
4,eMBB,0.0,0.0,0.0,441.0,0.9990084557480795,0.9,0.85,decrease_margin_after_safe_window
4,mMTC,0.0,0.0,0.0,518.0,0.2610439043839758,0.9,0.85,decrease_margin_after_safe_window
5,URLLC,0.0,0.0,0.0,292.0,0.2022047088435374,1.2,1.15,decrease_margin_after_safe_window
5,eMBB,0.0,0.0,0.0,303.0,0.9994067946358626,0.85,0.7999999999999999,decrease_margin_after_safe_window
5,mMTC,0.0,0.0,0.0,540.0,0.3500091925710782,0.85,0.7999999999999999,decrease_margin_after_safe_window
6,URLLC,0.0,0.0,0.0,323.0,0.23044367891156461,1.15,1.0999999999999999,decrease_margin_after_safe_window
6,eMBB,0.0,0.0,0.0,186.0,0.9994680898149684,0.7999999999999999,0.7499999999999999,decrease_margin_after_safe_window
6,mMTC,0.0,0.0,0.0,533.0,0.4197416912522099,0.7999999999999999,0.7499999999999999,decrease_margin_after_safe_window
7,URLLC,0.0,0.0,0.0,305.0,0.20361354591836736,1.0999999999999999,1.0499999999999998,decrease_margin_after_safe_window
7,eMBB,0.0,0.0,0.0,149.0,0.9992459723481547,0.7499999999999999,0.6999999999999998,decrease_margin_after_safe_window
7,mMTC,0.0,0.0,0.0,514.0,0.46434057204825774,0.7499999999999999,0.6999999999999998,decrease_margin_after_safe_window
8,URLLC,0.0,0.0,0.0,309.0,0.20696292210884357,1.0499999999999998,0.9999999999999998,decrease_margin_after_safe_window
8,eMBB,0.0,0.0,0.0,97.0,0.999267474405565,0.6999999999999998,0.6499999999999998,decrease_margin_after_safe_window
8,mMTC,0.0,0.0,0.0,506.0,0.45269693295562086,0.6999999999999998,0.6499999999999998,decrease_margin_after_safe_window
9,URLLC,0.0,0.0,0.0,313.0,0.20619566156462585,0.9999999999999998,0.9499999999999997,decrease_margin_after_safe_window
9,eMBB,0.0,0.0,0.0,74.0,0.9985621531295514,0.6499999999999998,0.5999999999999998,decrease_margin_after_safe_window
9,mMTC,0.0,0.0,0.0,542.0,0.456161658321424,0.6499999999999998,0.5999999999999998,decrease_margin_after_safe_window
10,URLLC,0.0,0.0,0.0,304.0,0.1997020843537415,0.9499999999999997,0.8999999999999997,decrease_margin_after_safe_window
