metric,baseline,ml_policy,delta_ml_minus_baseline,delta_pct
connected_clients_ratio,0.7626658507623238,0.7617618,-0.0009040507623238048,-0.11853825124334062
coverage_ratio,0.9991147330933013,0.9989676666666667,-0.00014706642663464553,-0.014719673503294428
block_ratio,0.0,0.0,0.0,0.0
handover_ratio,0.0,0.0,0.0,0.0
avg_slice_load_ratio,0.7218731415063672,0.7670277633626866,0.045154621856319466,6.255201815944164
total_bandwidth_usage,1819120316.596045,1932909963.6739705,113789647.07792544,6.2552018159441864
avg_latency_ms,0.758993130508858,0.7649098609486708,0.0059167304398127785,0.7795499329283753
p95_latency_ms,0.4566017037841816,0.46699242639667693,0.010390722612495351,2.275664441542832
latency_violation_ratio,0.0,0.0,0.0,0.0
avg_state_sla_violation_share,0.001,0.001,0.0,0.0
bandwidth_jain_fairness,0.42685799657146983,0.4205301489620099,-0.0063278476094599245,-1.4824245206333948
bandwidth_jain_fairness_min,0.33333333333333337,0.33333333333333337,0.0,0.0
