effective_time,slice_name,base_station_id,observed_demand_ratio,forecast_demand_ratio,forecast_upper_demand_ratio,forecast_error_std,safety_margin,forecast_reason
4,URLLC,BS_0,0.009772475,0.009352513449479167,0.01237935025715041,0.0020178912051141617,1.5,"window=4, horizon=1, alpha=0.450, margin=1.500"
4,URLLC,BS_1,0.034487276923076925,0.03054554039551282,0.06459756368750189,0.022701348861326045,1.5,"window=4, horizon=1, alpha=0.450, margin=1.500"
4,URLLC,BS_2,0.0103096,0.014432063132051283,0.030144662946181157,0.01047506654275325,1.5,"window=4, horizon=1, alpha=0.450, margin=1.500"
4,URLLC,BS_3,0.004119523076923077,0.005183260541025644,0.01647400830493503,0.007527165175939591,1.5,"window=4, horizon=1, alpha=0.450, margin=1.500"
4,URLLC,BS_4,0.015673953846153846,0.01431593282948718,0.02195338240071689,0.005091633047486474,1.5,"window=4, horizon=1, alpha=0.450, margin=1.500"
4,URLLC,BS_5,0.02618412307692308,0.023401582860256415,0.03897092836104226,0.010379563667190563,1.5,"window=4, horizon=1, alpha=0.450, margin=1.500"
4,URLLC,BS_6,0.015554584615384615,0.01703590435320513,0.03794526213830096,0.013939571856730558,1.5,"window=4, horizon=1, alpha=0.450, margin=1.500"
4,eMBB,BS_0,2.0,2.0,2.0,0.0,1.15,"window=4, horizon=1, alpha=0.450, margin=1.150"
4,eMBB,BS_1,2.0,2.0,2.0,0.0,1.15,"window=4, horizon=1, alpha=0.450, margin=1.150"
4,eMBB,BS_2,2.0,2.0,2.0,0.0,1.15,"window=4, horizon=1, alpha=0.450, margin=1.150"
4,eMBB,BS_3,2.0,2.0,2.0,0.0,1.15,"window=4, horizon=1, alpha=0.450, margin=1.150"
4,eMBB,BS_4,2.0,2.0,2.0,0.0,1.15,"window=4, horizon=1, alpha=0.450, margin=1.150"
4,eMBB,BS_5,2.0,2.0,2.0,0.0,1.15,"window=4, horizon=1, alpha=0.450, margin=1.150"
4,eMBB,BS_6,2.0,2.0,2.0,0.0,1.15,"window=4, horizon=1, alpha=0.450, margin=1.150"
4,mMTC,BS_0,0.0202006875,0.02017094373958334,0.020811434116743296,0.0005569481540521361,1.15,"window=4, horizon=1, alpha=0.450, margin=1.150"
4,mMTC,BS_1,0.019114323076923078,0.019121974871794872,0.023076624548195604,0.0034388258055658553,1.15,"window=4, horizon=1, alpha=0.450, margin=1.150"
4,mMTC,BS_2,0.02248247692307692,0.021731689769230768,0.025381255431860848,0.003173535358808765,1.15,"window=4, horizon=1, alpha=0.450, margin=1.150"
4,mMTC,BS_3,0.023767676923076922,0.022890143243589747,0.026653920317687877,0.0032728496296505487,1.15,"window=4, horizon=1, alpha=0.450, margin=1.150"
4,mMTC,BS_4,0.027080076923076925,0.02691027253846154,0.030566773021997604,0.0031795656378574458,1.15,"window=4, horizon=1, alpha=0.450, margin=1.150"
4,mMTC,BS_5,0.02689755384615385,0.026822552948717958,0.028437592621345768,0.001404382324024182,1.15,"window=4, horizon=1, alpha=0.450, margin=1.150"
4,mMTC,BS_6,0.02346846153846154,0.02300573052564103,0.03296999720790453,0.008664579723707393,1.15,"window=4, horizon=1, alpha=0.450, margin=1.150"
5,URLLC,BS_0,0.016012875,0.013850074480546877,0.020257063360347487,0.0036611365027432057,1.75,"window=5, horizon=1, alpha=0.450, margin=1.750"
5,URLLC,BS_1,0.016904600000000002,0.02133246132009616,0.060063611728973176,0.022132085947929724,1.75,"window=5, horizon=1, alpha=0.450, margin=1.750"
5,URLLC,BS_2,0.015651184615384617,0.015690846517500003,0.03239181750418213,0.009543411992389787,1.75,"window=5, horizon=1, alpha=0.450, margin=1.750"
5,URLLC,BS_3,0.008395769230769231,0.006786128425769233,0.02003167898292068,0.007568886032657969,1.75,"window=5, horizon=1, alpha=0.450, margin=1.750"
5,URLLC,BS_4,0.0107444,0.011821079722884617,0.021138798680156883,0.0053244108327270105,1.75,"window=5, horizon=1, alpha=0.450, margin=1.750"
5,URLLC,BS_5,0.014544153846153847,0.016480617239807697,0.03441008599258189,0.010245410715870968,1.75,"window=5, horizon=1, alpha=0.450, margin=1.750"
5,URLLC,BS_6,0.025129738461538466,0.02346196841990385,0.04446750161463896,0.012003161825562917,1.75,"window=5, horizon=1, alpha=0.450, margin=1.750"
5,eMBB,BS_0,2.0,2.0,2.0,0.0,1.4,"window=5, horizon=1, alpha=0.450, margin=1.400"
5,eMBB,BS_1,2.0,2.0,2.0,0.0,1.4,"window=5, horizon=1, alpha=0.450, margin=1.400"
5,eMBB,BS_2,2.0,2.0,2.0,0.0,1.4,"window=5, horizon=1, alpha=0.450, margin=1.400"
5,eMBB,BS_3,2.0,2.0,2.0,0.0,1.4,"window=5, horizon=1, alpha=0.450, margin=1.400"
5,eMBB,BS_4,2.0,2.0,2.0,0.0,1.4,"window=5, horizon=1, alpha=0.450, margin=1.400"
5,eMBB,BS_5,2.0,2.0,2.0,0.0,1.4,"window=5, horizon=1, alpha=0.450, margin=1.400"
5,eMBB,BS_6,2.0,2.0,2.0,0.0,1.4,"window=5, horizon=1, alpha=0.450, margin=1.400"
5,mMTC,BS_0,0.0185979,0.018998066348437502,0.020097921066349146,0.0007856105127940309,1.4,"window=5, horizon=1, alpha=0.450, margin=1.400"
5,mMTC,BS_1,0.0211228,0.020036929,0.02505075968453558,0.0035813076318111296,1.4,"window=5, horizon=1, alpha=0.450, margin=1.400"
5,mMTC,BS_2,0.02248247692307692,0.022044990142307694,0.025673661010916195,0.002591907763291787,1.4,"window=5, horizon=1, alpha=0.450, margin=1.400"
5,mMTC,BS_3,0.023767676923076922,0.023334723655769232,0.027079942627360142,0.0026751564082792218,1.4,"window=5, horizon=1, alpha=0.450, margin=1.400"
5,mMTC,BS_4,0.024561938461538462,0.024856842973076925,0.028522646431309272,0.002618431041594532,1.4,"window=5, horizon=1, alpha=0.450, margin=1.400"
5,mMTC,BS_5,0.02573146153846154,0.02587787463461539,0.027502365960340044,0.001160350946946181,1.4,"window=5, horizon=1, alpha=0.450, margin=1.400"
5,mMTC,BS_6,0.021728415384615386,0.020995427686538466,0.031159741841322856,0.007260224396274565,1.4,"window=5, horizon=1, alpha=0.450, margin=1.400"
6,URLLC,BS_0,0.0100484,0.011280480651800784,0.019017435631732194,0.004551149988194948,1.7,"window=6, horizon=1, alpha=0.450, margin=1.700"
6,URLLC,BS_1,0.02056666153846154,0.02185979641836058,0.05452894896026862,0.019217148554063552,1.7,"window=6, horizon=1, alpha=0.450, margin=1.700"
6,URLLC,BS_2,0.0076164,0.010198096353855771,0.025229344911286086,0.00884191091613548,1.7,"window=6, horizon=1, alpha=0.450, margin=1.700"
6,URLLC,BS_3,0.013280984615384617,0.010098288518788464,0.022525333342769824,0.007310026367047859,1.7,"window=6, horizon=1, alpha=0.450, margin=1.700"
6,URLLC,BS_4,0.019416369230769233,0.016988436539894233,0.02720175533927156,0.006007834587869016,1.7,"window=6, horizon=1, alpha=0.450, margin=1.700"
6,URLLC,BS_5,0.032874,0.02677255102035577,0.04892185475102727,0.013029002194512649,1.7,"window=6, horizon=1, alpha=0.450, margin=1.700"
6,URLLC,BS_6,0.020975046153846155,0.02247603416940866,0.041167739949974316,0.010995121047391563,1.7,"window=6, horizon=1, alpha=0.450, margin=1.700"
6,eMBB,BS_0,2.0,2.0,2.0,0.0,1.3499999999999999,"window=6, horizon=1, alpha=0.450, margin=1.350"
6,eMBB,BS_1,2.0,2.0,2.0,0.0,1.3499999999999999,"window=6, horizon=1, alpha=0.450, margin=1.350"
6,eMBB,BS_2,2.0,2.0,2.0,0.0,1.3499999999999999,"window=6, horizon=1, alpha=0.450, margin=1.350"
6,eMBB,BS_3,2.0,2.0,2.0,0.0,1.3499999999999999,"window=6, horizon=1, alpha=0.450, margin=1.350"
6,eMBB,BS_4,2.0,2.0,2.0,0.0,1.3499999999999999,"window=6, horizon=1, alpha=0.450, margin=1.350"
6,eMBB,BS_5,2.0,2.0,2.0,0.0,1.3499999999999999,"window=6, horizon=1, alpha=0.450, margin=1.350"
6,eMBB,BS_6,2.0,2.0,2.0,0.0,1.3499999999999999,"window=6, horizon=1, alpha=0.450, margin=1.350"
6,mMTC,BS_0,0.0159987125,0.016968053991640628,0.018464735946569687,0.0011086532999474519,1.3499999999999999,"window=6, horizon=1, alpha=0.450, margin=1.350"
6,mMTC,BS_1,0.026916246153846152,0.023959775373076923,0.029960374462376267,0.00444488821429581,1.3499999999999999,"window=6, horizon=1, alpha=0.450, margin=1.350"
6,mMTC,BS_2,0.020159876923076924,0.02070914996288462,0.024025189681219583,0.0024563257172851593,1.3499999999999999,"window=6, horizon=1, alpha=0.450, margin=1.350"
6,mMTC,BS_3,0.026620615384615385,0.025430547241442312,0.028948196902290484,0.00260566641544309,1.3499999999999999,"window=6, horizon=1, alpha=0.450, margin=1.350"
6,mMTC,BS_4,0.024561938461538462,0.024222554212115388,0.027514784734511844,0.002438689275849228,1.3499999999999999,"window=6, horizon=1, alpha=0.450, margin=1.350"
6,mMTC,BS_5,0.02223003076923077,0.023311149125961543,0.02538667276703759,0.0015374249193155895,1.3499999999999999,"window=6, horizon=1, alpha=0.450, margin=1.350"
6,mMTC,BS_6,0.019773892307692307,0.019008110996826928,0.027602621895202475,0.0063663043691670725,1.3499999999999999,"window=6, horizon=1, alpha=0.450, margin=1.350"
7,URLLC,BS_0,0.0070899125,0.008866533066823765,0.01584927025400313,0.004231961931623859,1.65,"window=7, horizon=1, alpha=0.450, margin=1.650"
