metric,baseline,ml_policy,delta_ml_minus_baseline,delta_pct
connected_clients_ratio,0.8109279999999999,0.8096058333333332,-0.0013221666666666243,-0.16304365697899498
coverage_ratio,0.9995735,0.9988530000000001,-0.0007204999999999018,-0.07208074243663941
block_ratio,0.0,0.0,0.0,0.0
handover_ratio,0.0,0.0,0.0,0.0
avg_slice_load_ratio,0.7024719989802601,0.7534902453825039,0.05101824640224373,7.262673313143314
total_bandwidth_usage,330161839.52072227,354140415.3297769,23978575.809054613,7.262673313143332
avg_latency_ms,0.7500325012332877,0.7485817715457795,-0.0014507296875081455,-0.19342224305249342
p95_latency_ms,3.314301313789592,3.9806162994860417,0.6663149856964496,20.104236839425475
latency_violation_ratio,0.0,0.0,0.0,0.0
avg_state_sla_violation_share,0.008833333333333332,0.006666666666666666,-0.0021666666666666657,-24.528301886792445
bandwidth_jain_fairness,0.4078732934424372,0.402148051942766,-0.005725241499671241,-1.403681386283076
bandwidth_jain_fairness_min,0.33333333333333337,0.33333333333333337,0.0,0.0
