effective_time,slice_name,observed_sla_violation_share,observed_latency_violation_ratio,observed_near_breach_share,observed_request_count,observed_avg_load,safety_margin_before,safety_margin_after,feedback_reason
4,URLLC,0.0,0.0,0.0,138.0,0.27299583485958484,1.25,1.2,decrease_margin_after_safe_window
4,eMBB,0.0,0.0,0.0,187.0,0.9979787899616747,0.9,0.85,decrease_margin_after_safe_window
4,mMTC,0.0,0.0,0.0,183.0,0.1885299326923077,0.9,0.85,decrease_margin_after_safe_window
5,URLLC,0.0,0.0,0.0,134.0,0.18736322733516486,1.2,1.15,decrease_margin_after_safe_window
5,eMBB,0.0,0.0,0.0,100.0,0.998790011687914,0.85,0.7999999999999999,decrease_margin_after_safe_window
5,mMTC,0.0,0.0,0.0,208.0,0.21594096035362426,0.85,0.7999999999999999,decrease_margin_after_safe_window
6,URLLC,0.0,0.0,0.0,123.0,0.1804615824175824,1.15,1.0999999999999999,decrease_margin_after_safe_window
6,eMBB,0.0,0.0,0.0,59.0,0.9977064654954901,0.7999999999999999,0.7499999999999999,decrease_margin_after_safe_window
6,mMTC,0.0,0.0,0.0,188.0,0.29858424729232336,0.7999999999999999,0.7499999999999999,decrease_margin_after_safe_window
7,URLLC,0.0,0.0,1.0,124.0,0.1874666366758242,1.0999999999999999,1.0499999999999998,decrease_margin_after_safe_window
7,eMBB,0.0,0.0,1.0,50.0,0.9988776594524801,0.7499999999999999,0.6999999999999998,decrease_margin_after_safe_window
7,mMTC,0.0,0.0,0.0,181.0,0.31922518811395817,0.7499999999999999,0.6999999999999998,decrease_margin_after_safe_window
8,URLLC,0.0,0.0,1.0,120.0,0.17949676785714286,1.0499999999999998,0.9999999999999998,decrease_margin_after_safe_window
8,eMBB,0.0,0.0,1.0,37.0,0.997874113651995,0.6999999999999998,0.6499999999999998,decrease_margin_after_safe_window
8,mMTC,0.0,0.0,0.0,197.0,0.3037623415886106,0.6999999999999998,0.6499999999999998,decrease_margin_after_safe_window
9,URLLC,0.0,0.0,1.0,129.0,0.19877867376373626,0.9999999999999998,0.9499999999999997,decrease_margin_after_safe_window
9,eMBB,0.0,0.0,1.0,24.0,0.9973498778628427,0.6499999999999998,0.5999999999999998,decrease_margin_after_safe_window
9,mMTC,0.0,0.0,0.0,198.0,0.3330828859789712,0.6499999999999998,0.5999999999999998,decrease_margin_after_safe_window
10,URLLC,0.0,0.0,1.0,118.0,0.17080892788461538,0.9499999999999997,0.8999999999999997,decrease_margin_after_safe_window
10,eMBB,0.0,0.0,1.0,6.0,0.9989520280649378,0.5999999999999998,0.5499999999999997,decrease_margin_after_safe_window
10,mMTC,0.0,0.0,0.0,184.0,0.3261574255260761,0.5999999999999998,0.5499999999999997,decrease_margin_after_safe_window
11,URLLC,0.0,0.0,1.0,138.0,0.21441538461538462,0.8999999999999997,0.8499999999999996,decrease_margin_after_safe_window
11,eMBB,0.0,0.0,1.0,11.0,0.9972063466360473,0.5499999999999997,0.4999999999999997,decrease_margin_after_safe_window
11,mMTC,0.0,0.0,0.0,196.0,0.2988866596352306,0.5499999999999997,0.4999999999999997,decrease_margin_after_safe_window
12,URLLC,0.0,0.0,1.0,122.0,0.18469073282967033,0.8499999999999996,0.7999999999999996,decrease_margin_after_safe_window
12,eMBB,0.0,0.0,1.0,5.0,0.9960431423099478,0.4999999999999997,0.45,decrease_margin_after_safe_window
12,mMTC,0.0,0.0,0.0,187.0,0.3252305650397321,0.4999999999999997,0.45,decrease_margin_after_safe_window
13,URLLC,0.0,0.0,0.0,117.0,0.1794169896978022,0.7999999999999996,0.7499999999999996,decrease_margin_after_safe_window
13,eMBB,0.0,0.0,0.0,4.0,0.9961080741375329,0.45,0.45,decrease_margin_after_safe_window
13,mMTC,0.0,0.0,0.0,205.0,0.30047279668645677,0.45,0.45,decrease_margin_after_safe_window
14,URLLC,0.0,0.0,1.0,144.0,0.2207161353021978,0.7499999999999996,0.6999999999999995,decrease_margin_after_safe_window
14,eMBB,0.0,0.0,1.0,2.0,0.9964771199162595,0.45,0.45,decrease_margin_after_safe_window
14,mMTC,0.0,0.0,0.0,187.0,0.31617255310840214,0.45,0.45,decrease_margin_after_safe_window
15,URLLC,0.0,0.0,1.0,131.0,0.20658020604395608,0.6999999999999995,0.6499999999999995,decrease_margin_after_safe_window
15,eMBB,0.0,0.0,1.0,3.0,0.9958241771422152,0.45,0.45,decrease_margin_after_safe_window
15,mMTC,0.0,0.0,0.0,200.0,0.29964694150193427,0.45,0.45,decrease_margin_after_safe_window
16,URLLC,0.0,0.0,0.0,119.0,0.18678747596153847,0.6499999999999995,0.5999999999999994,decrease_margin_after_safe_window
16,eMBB,0.0,0.0,0.0,2.0,0.9957057284667814,0.45,0.45,decrease_margin_after_safe_window
16,mMTC,0.0,0.0,0.0,182.0,0.29061646180062845,0.45,0.45,decrease_margin_after_safe_window
17,URLLC,0.0,0.0,0.0,114.0,0.16177193612637364,0.5999999999999994,0.5499999999999994,decrease_margin_after_safe_window
17,eMBB,0.0,0.0,0.0,1.0,0.9952305808157119,0.45,0.45,decrease_margin_after_safe_window
17,mMTC,0.0,0.0,0.0,193.0,0.26585685494372185,0.45,0.45,decrease_margin_after_safe_window
18,URLLC,0.0,0.0,0.0,130.0,0.1917551531593407,0.5499999999999994,0.4999999999999994,decrease_margin_after_safe_window
18,eMBB,0.0,0.0,0.0,1.0,0.9932716796258975,0.45,0.45,decrease_margin_after_safe_window
18,mMTC,0.0,0.0,0.0,188.0,0.2924953082415017,0.45,0.45,decrease_margin_after_safe_window
19,URLLC,0.0,0.0,0.0,125.0,0.19496153846153846,0.4999999999999994,0.45,decrease_margin_after_safe_window
19,eMBB,0.0,0.0,0.0,3.0,0.9952599362601521,0.45,0.45,decrease_margin_after_safe_window
19,mMTC,0.0,0.0,0.0,211.0,0.2805608687266917,0.45,0.45,decrease_margin_after_safe_window
20,URLLC,0.0,0.0,0.0,123.0,0.17710213736263739,0.45,0.45,decrease_margin_after_safe_window
20,eMBB,0.0,0.0,0.0,1.0,0.9946181033986029,0.45,0.45,decrease_margin_after_safe_window
20,mMTC,0.0,0.0,0.0,190.0,0.31913501105874825,0.45,0.45,decrease_margin_after_safe_window
21,URLLC,0.0,0.0,0.0,127.0,0.19181920535714286,0.45,0.45,decrease_margin_after_safe_window
21,eMBB,0.0,0.0,0.0,7.0,0.9929862808248971,0.45,0.45,decrease_margin_after_safe_window
21,mMTC,0.0,0.0,0.0,187.0,0.2990095922714135,0.45,0.45,decrease_margin_after_safe_window
22,URLLC,0.0,0.0,0.0,110.0,0.1612027925824176,0.45,0.45,decrease_margin_after_safe_window
22,eMBB,0.0,0.0,0.0,2.0,0.9927131199708105,0.45,0.45,decrease_margin_after_safe_window
22,mMTC,0.0,0.0,0.0,200.0,0.278460602700704,0.45,0.45,decrease_margin_after_safe_window
23,URLLC,0.0,0.0,0.0,126.0,0.19876661057692308,0.45,0.45,decrease_margin_after_safe_window
23,eMBB,0.0,0.0,0.0,10.0,0.9905736906096629,0.45,0.45,decrease_margin_after_safe_window
23,mMTC,0.0,0.0,0.0,191.0,0.3061328879923573,0.45,0.45,decrease_margin_after_safe_window
24,URLLC,0.0,0.0,0.0,136.0,0.2046598125,0.45,0.45,decrease_margin_after_safe_window
24,eMBB,0.0,0.0,0.0,15.0,0.9920934212455884,0.45,0.45,decrease_margin_after_safe_window
24,mMTC,0.0,0.0,0.0,179.0,0.29739762120469465,0.45,0.45,decrease_margin_after_safe_window
25,URLLC,0.0,0.0,0.0,132.0,0.20227679945054944,0.45,0.45,decrease_margin_after_safe_window
25,eMBB,0.0,0.0,0.0,10.0,0.9925662412224204,0.45,0.45,decrease_margin_after_safe_window
25,mMTC,0.0,0.0,0.0,181.0,0.2633584894053503,0.45,0.45,decrease_margin_after_safe_window
26,URLLC,0.0,0.0,0.0,134.0,0.18170558104395604,0.45,0.45,decrease_margin_after_safe_window
26,eMBB,0.0,0.0,0.0,6.0,0.9929680765300485,0.45,0.45,decrease_margin_after_safe_window
26,mMTC,0.0,0.0,0.0,218.0,0.28344815077408547,0.45,0.45,decrease_margin_after_safe_window
27,URLLC,0.0,0.0,1.0,139.0,0.21403885782967036,0.45,0.45,decrease_margin_after_safe_window
27,eMBB,0.0,0.0,1.0,11.0,0.9926488781003264,0.45,0.45,decrease_margin_after_safe_window
27,mMTC,0.0,0.0,0.0,177.0,0.3444735438477329,0.45,0.45,decrease_margin_after_safe_window
28,URLLC,0.0,0.0,0.0,126.0,0.18149827815934066,0.45,0.45,decrease_margin_after_safe_window
28,eMBB,0.0,0.0,0.0,12.0,0.9919442151276112,0.45,0.45,decrease_margin_after_safe_window
28,mMTC,0.0,0.0,0.0,205.0,0.2760994618595761,0.45,0.45,decrease_margin_after_safe_window
29,URLLC,0.0,0.0,0.0,123.0,0.1730218688186813,0.45,0.45,decrease_margin_after_safe_window
29,eMBB,0.0,0.0,0.0,12.0,0.993208806526499,0.45,0.45,decrease_margin_after_safe_window
29,mMTC,0.0,0.0,0.0,183.0,0.32322526322276257,0.45,0.45,decrease_margin_after_safe_window
30,URLLC,0.0,0.0,0.0,124.0,0.18513962293956046,0.45,0.45,decrease_margin_after_safe_window
30,eMBB,0.0,0.0,0.0,11.0,0.9919997403720381,0.45,0.45,decrease_margin_after_safe_window
30,mMTC,0.0,0.0,0.0,217.0,0.2698915156338118,0.45,0.45,decrease_margin_after_safe_window
31,URLLC,0.0,0.0,0.0,131.0,0.19067032554945057,0.45,0.45,decrease_margin_after_safe_window
31,eMBB,0.0,0.0,0.0,7.0,0.9941251704096657,0.45,0.45,decrease_margin_after_safe_window
31,mMTC,0.0,0.0,0.0,187.0,0.32041520246348654,0.45,0.45,decrease_margin_after_safe_window
32,URLLC,0.0,0.0,0.0,135.0,0.19342129807692313,0.45,0.45,decrease_margin_after_safe_window
32,eMBB,0.0,0.0,0.0,7.0,0.9935749250525256,0.45,0.45,decrease_margin_after_safe_window
32,mMTC,0.0,0.0,0.0,210.0,0.3079640536600067,0.45,0.45,decrease_margin_after_safe_window
33,URLLC,0.0,0.0,0.0,134.0,0.20719315728021975,0.45,0.45,decrease_margin_after_safe_window
33,eMBB,0.0,0.0,0.0,7.0,0.9911403351179144,0.45,0.45,decrease_margin_after_safe_window
33,mMTC,0.0,0.0,0.0,183.0,0.333244532612916,0.45,0.45,decrease_margin_after_safe_window
34,URLLC,0.0,0.0,0.0,120.0,0.19029860096153844,0.45,0.45,decrease_margin_after_safe_window
34,eMBB,0.0,0.0,0.0,14.0,0.9916033365025789,0.45,0.45,decrease_margin_after_safe_window
34,mMTC,0.0,0.0,0.0,186.0,0.2721295071221677,0.45,0.45,decrease_margin_after_safe_window
35,URLLC,0.0,0.0,0.0,145.0,0.2159702898351648,0.45,0.45,decrease_margin_after_safe_window
35,eMBB,0.0,0.0,0.0,12.0,0.9922826316278678,0.45,0.45,decrease_margin_after_safe_window
35,mMTC,0.0,0.0,0.0,218.0,0.27174355795630356,0.45,0.45,decrease_margin_after_safe_window
36,URLLC,0.0,0.0,0.0,125.0,0.18144045123626373,0.45,0.45,decrease_margin_after_safe_window
36,eMBB,0.0,0.0,0.0,12.0,0.9903904741240562,0.45,0.45,decrease_margin_after_safe_window
36,mMTC,0.0,0.0,0.0,160.0,0.33998825228264834,0.45,0.45,decrease_margin_after_safe_window
37,URLLC,0.0,0.0,0.0,132.0,0.19953429945054948,0.45,0.45,decrease_margin_after_safe_window
37,eMBB,0.0,0.0,0.0,14.0,0.992031933579858,0.45,0.45,decrease_margin_after_safe_window
37,mMTC,0.0,0.0,0.0,225.0,0.24238987728995393,0.45,0.45,decrease_margin_after_safe_window
38,URLLC,0.0,0.0,1.0,129.0,0.19840899450549454,0.45,0.45,decrease_margin_after_safe_window
38,eMBB,0.0,0.0,1.0,11.0,0.991847004485047,0.45,0.45,decrease_margin_after_safe_window
38,mMTC,0.0,0.0,0.0,183.0,0.33943450277915455,0.45,0.45,decrease_margin_after_safe_window
39,URLLC,0.0,0.0,0.0,114.0,0.16118190247252748,0.45,0.45,decrease_margin_after_safe_window
39,eMBB,0.0,0.0,0.0,17.0,0.9920564136641362,0.45,0.45,decrease_margin_after_safe_window
39,mMTC,0.0,0.0,0.0,180.0,0.2789557024601924,0.45,0.45,decrease_margin_after_safe_window
40,URLLC,0.0,0.0,0.0,118.0,0.18173114629120882,0.45,0.45,decrease_margin_after_safe_window
40,eMBB,0.0,0.0,0.0,10.0,0.9922605693862713,0.45,0.45,decrease_margin_after_safe_window
40,mMTC,0.0,0.0,0.0,198.0,0.2833835937734882,0.45,0.45,decrease_margin_after_safe_window
41,URLLC,0.0,0.0,0.0,131.0,0.19765835645604396,0.45,0.45,decrease_margin_after_safe_window
41,eMBB,0.0,0.0,0.0,15.0,0.9917403009052556,0.45,0.45,decrease_margin_after_safe_window
41,mMTC,0.0,0.0,0.0,181.0,0.29946042113569776,0.45,0.45,decrease_margin_after_safe_window
42,URLLC,0.0,0.0,0.0,118.0,0.17409534821428574,0.45,0.45,decrease_margin_after_safe_window
42,eMBB,0.0,0.0,0.0,10.0,0.9923027442278113,0.45,0.45,decrease_margin_after_safe_window
42,mMTC,0.0,0.0,0.0,198.0,0.2728267734545959,0.45,0.45,decrease_margin_after_safe_window
43,URLLC,0.0,0.0,0.0,117.0,0.1605458811813187,0.45,0.45,decrease_margin_after_safe_window
43,eMBB,0.0,0.0,0.0,17.0,0.9911145943113236,0.45,0.45,decrease_margin_after_safe_window
43,mMTC,0.0,0.0,0.0,162.0,0.31038263803053273,0.45,0.45,decrease_margin_after_safe_window
44,URLLC,0.0,0.0,0.0,131.0,0.18993577472527473,0.45,0.45,decrease_margin_after_safe_window
44,eMBB,0.0,0.0,0.0,11.0,0.992685028741365,0.45,0.45,decrease_margin_after_safe_window
44,mMTC,0.0,0.0,0.0,214.0,0.2630473469480927,0.45,0.45,decrease_margin_after_safe_window
45,URLLC,0.0,0.0,0.0,120.0,0.17483720192307692,0.45,0.45,decrease_margin_after_safe_window
45,eMBB,0.0,0.0,0.0,7.0,0.9916430181491233,0.45,0.45,decrease_margin_after_safe_window
45,mMTC,0.0,0.0,0.0,195.0,0.3403759881759999,0.45,0.45,decrease_margin_after_safe_window
46,URLLC,0.0,0.0,0.0,131.0,0.18575503090659343,0.45,0.45,decrease_margin_after_safe_window
46,eMBB,0.0,0.0,0.0,17.0,0.9934043081752602,0.45,0.45,decrease_margin_after_safe_window
46,mMTC,0.0,0.0,0.0,195.0,0.31679076883809004,0.45,0.45,decrease_margin_after_safe_window
47,URLLC,0.0,0.0,0.0,122.0,0.1897706662087912,0.45,0.45,decrease_margin_after_safe_window
47,eMBB,0.0,0.0,0.0,12.0,0.9922820138493176,0.45,0.45,decrease_margin_after_safe_window
47,mMTC,0.0,0.0,0.0,189.0,0.27873637659802214,0.45,0.45,decrease_margin_after_safe_window
48,URLLC,0.0,0.0,0.0,121.0,0.18285662087912088,0.45,0.45,decrease_margin_after_safe_window
48,eMBB,0.0,0.0,0.0,11.0,0.9894512975859128,0.45,0.45,decrease_margin_after_safe_window
48,mMTC,0.0,0.0,0.0,206.0,0.3092246001918381,0.45,0.45,decrease_margin_after_safe_window
49,URLLC,0.0,0.0,0.0,117.0,0.18699155219780222,0.45,0.45,decrease_margin_after_safe_window
49,eMBB,0.0,0.0,0.0,18.0,0.992715452801079,0.45,0.45,decrease_margin_after_safe_window
49,mMTC,0.0,0.0,0.0,187.0,0.3292371482508575,0.45,0.45,decrease_margin_after_safe_window
50,URLLC,0.0,0.0,0.0,138.0,0.20788159340659343,0.45,0.45,decrease_margin_after_safe_window
50,eMBB,0.0,0.0,0.0,13.0,0.9921566297673462,0.45,0.45,decrease_margin_after_safe_window
50,mMTC,0.0,0.0,0.0,203.0,0.2906747771087773,0.45,0.45,decrease_margin_after_safe_window
51,URLLC,0.0,0.0,0.0,110.0,0.1548342410714286,0.45,0.45,decrease_margin_after_safe_window
51,eMBB,0.0,0.0,0.0,12.0,0.9922455443913025,0.45,0.45,decrease_margin_after_safe_window
51,mMTC,0.0,0.0,0.0,202.0,0.32876507875810024,0.45,0.45,decrease_margin_after_safe_window
52,URLLC,0.0,0.0,0.0,124.0,0.19531954601648355,0.45,0.45,decrease_margin_after_safe_window
52,eMBB,0.0,0.0,0.0,5.0,0.9923215251270007,0.45,0.45,decrease_margin_after_safe_window
52,mMTC,0.0,0.0,0.0,196.0,0.32553848820993175,0.45,0.45,decrease_margin_after_safe_window
53,URLLC,0.0,0.0,0.0,120.0,0.1830072046703297,0.45,0.45,decrease_margin_after_safe_window
53,eMBB,0.0,0.0,0.0,10.0,0.9934635670751105,0.45,0.45,decrease_margin_after_safe_window
53,mMTC,0.0,0.0,0.0,200.0,0.2891480315722089,0.45,0.45,decrease_margin_after_safe_window
54,URLLC,0.0,0.0,0.0,146.0,0.2171523592032967,0.45,0.45,decrease_margin_after_safe_window
54,eMBB,0.0,0.0,0.0,10.0,0.9914998531143672,0.45,0.45,decrease_margin_after_safe_window
54,mMTC,0.0,0.0,0.0,194.0,0.28746562685201793,0.45,0.45,decrease_margin_after_safe_window
55,URLLC,0.0,0.0,0.0,116.0,0.16458082142857142,0.45,0.45,decrease_margin_after_safe_window
55,eMBB,0.0,0.0,0.0,13.0,0.9913174231666179,0.45,0.45,decrease_margin_after_safe_window
55,mMTC,0.0,0.0,0.0,185.0,0.2970130821173017,0.45,0.45,decrease_margin_after_safe_window
56,URLLC,0.0,0.0,0.0,129.0,0.1841058076923077,0.45,0.45,decrease_margin_after_safe_window
56,eMBB,0.0,0.0,0.0,18.0,0.9929167254820904,0.45,0.45,decrease_margin_after_safe_window
56,mMTC,0.0,0.0,0.0,198.0,0.28225510073979565,0.45,0.45,decrease_margin_after_safe_window
57,URLLC,0.0,0.0,1.0,145.0,0.2128911723901099,0.45,0.45,decrease_margin_after_safe_window
57,eMBB,0.0,0.0,1.0,10.0,0.9938019461197761,0.45,0.45,decrease_margin_after_safe_window
57,mMTC,0.0,0.0,0.0,202.0,0.3039306937345007,0.45,0.45,decrease_margin_after_safe_window
58,URLLC,0.0,0.0,0.0,119.0,0.18169540934065934,0.45,0.45,decrease_margin_after_safe_window
58,eMBB,0.0,0.0,0.0,5.0,0.9933459273148264,0.45,0.45,decrease_margin_after_safe_window
58,mMTC,0.0,0.0,0.0,212.0,0.3025141830008983,0.45,0.45,decrease_margin_after_safe_window
59,URLLC,0.0,0.0,0.0,118.0,0.1862587081043956,0.45,0.45,decrease_margin_after_safe_window
59,eMBB,0.0,0.0,0.0,6.0,0.9923415080969432,0.45,0.45,decrease_margin_after_safe_window
59,mMTC,0.0,0.0,0.0,176.0,0.34518148074040883,0.45,0.45,decrease_margin_after_safe_window
60,URLLC,0.0,0.0,0.0,140.0,0.21709444162087915,0.45,0.45,decrease_margin_after_safe_window
60,eMBB,0.0,0.0,0.0,11.0,0.9900994831962101,0.45,0.45,decrease_margin_after_safe_window
60,mMTC,0.0,0.0,0.0,190.0,0.27835283773538183,0.45,0.45,decrease_margin_after_safe_window
61,URLLC,0.0,0.0,0.0,132.0,0.2036241050824176,0.45,0.45,decrease_margin_after_safe_window
61,eMBB,0.0,0.0,0.0,13.0,0.9896747710960698,0.45,0.45,decrease_margin_after_safe_window
61,mMTC,0.0,0.0,0.0,184.0,0.29317080329209794,0.45,0.45,decrease_margin_after_safe_window
62,URLLC,0.0,0.0,0.0,117.0,0.17659547596153846,0.45,0.45,decrease_margin_after_safe_window
62,eMBB,0.0,0.0,0.0,11.0,0.9896839008191008,0.45,0.45,decrease_margin_after_safe_window
62,mMTC,0.0,0.0,0.0,194.0,0.26334394928789845,0.45,0.45,decrease_margin_after_safe_window
63,URLLC,0.0,0.0,0.0,120.0,0.1744559800824176,0.45,0.45,decrease_margin_after_safe_window
63,eMBB,0.0,0.0,0.0,12.0,0.9925902460208257,0.45,0.45,decrease_margin_after_safe_window
63,mMTC,0.0,0.0,0.0,193.0,0.2908954422571223,0.45,0.45,decrease_margin_after_safe_window
64,URLLC,0.0,0.0,0.0,130.0,0.19215834615384614,0.45,0.45,decrease_margin_after_safe_window
64,eMBB,0.0,0.0,0.0,18.0,0.9917743633781387,0.45,0.45,decrease_margin_after_safe_window
64,mMTC,0.0,0.0,0.0,179.0,0.31225204659277356,0.45,0.45,decrease_margin_after_safe_window
65,URLLC,0.0,0.0,0.0,129.0,0.18127033653846156,0.45,0.45,decrease_margin_after_safe_window
65,eMBB,0.0,0.0,0.0,12.0,0.9920474493859601,0.45,0.45,decrease_margin_after_safe_window
65,mMTC,0.0,0.0,0.0,180.0,0.2897971713303929,0.45,0.45,decrease_margin_after_safe_window
66,URLLC,0.0,0.0,0.0,145.0,0.21962373420329673,0.45,0.45,decrease_margin_after_safe_window
66,eMBB,0.0,0.0,0.0,10.0,0.992870215153029,0.45,0.45,decrease_margin_after_safe_window
66,mMTC,0.0,0.0,0.0,190.0,0.27351789302043883,0.45,0.45,decrease_margin_after_safe_window
67,URLLC,0.0,0.0,0.0,127.0,0.19764265315934068,0.45,0.45,decrease_margin_after_safe_window
67,eMBB,0.0,0.0,0.0,9.0,0.9898511535904427,0.45,0.45,decrease_margin_after_safe_window
67,mMTC,0.0,0.0,0.0,187.0,0.29381877102375187,0.45,0.45,decrease_margin_after_safe_window
68,URLLC,0.0,0.0,0.0,126.0,0.19157473626373628,0.45,0.45,decrease_margin_after_safe_window
68,eMBB,0.0,0.0,0.0,19.0,0.9902519145159937,0.45,0.45,decrease_margin_after_safe_window
68,mMTC,0.0,0.0,0.0,190.0,0.30549569771067936,0.45,0.45,decrease_margin_after_safe_window
69,URLLC,0.0,0.0,0.0,114.0,0.17607552884615382,0.45,0.45,decrease_margin_after_safe_window
69,eMBB,0.0,0.0,0.0,18.0,0.9918353697622642,0.45,0.45,decrease_margin_after_safe_window
69,mMTC,0.0,0.0,0.0,213.0,0.2761173094971561,0.45,0.45,decrease_margin_after_safe_window
70,URLLC,0.0,0.0,0.0,124.0,0.17266386607142858,0.45,0.45,decrease_margin_after_safe_window
70,eMBB,0.0,0.0,0.0,16.0,0.9913060889124855,0.45,0.45,decrease_margin_after_safe_window
70,mMTC,0.0,0.0,0.0,187.0,0.3400265760064129,0.45,0.45,decrease_margin_after_safe_window
71,URLLC,0.0,0.0,0.0,125.0,0.18782044711538465,0.45,0.45,decrease_margin_after_safe_window
71,eMBB,0.0,0.0,0.0,14.0,0.9899057640331289,0.45,0.45,decrease_margin_after_safe_window
71,mMTC,0.0,0.0,0.0,198.0,0.3009961498604677,0.45,0.45,decrease_margin_after_safe_window
72,URLLC,0.0,0.0,0.0,140.0,0.21414301717032966,0.45,0.45,decrease_margin_after_safe_window
72,eMBB,0.0,0.0,0.0,16.0,0.9927747972715993,0.45,0.45,decrease_margin_after_safe_window
72,mMTC,0.0,0.0,0.0,181.0,0.2916238578555479,0.45,0.45,decrease_margin_after_safe_window
73,URLLC,0.0,0.0,0.0,137.0,0.19042237225274725,0.45,0.45,decrease_margin_after_safe_window
73,eMBB,0.0,0.0,0.0,10.0,0.9885975913164559,0.45,0.45,decrease_margin_after_safe_window
73,mMTC,0.0,0.0,0.0,209.0,0.2892207363184186,0.45,0.45,decrease_margin_after_safe_window
74,URLLC,0.0,0.0,0.0,133.0,0.19401368681318681,0.45,0.45,decrease_margin_after_safe_window
74,eMBB,0.0,0.0,0.0,14.0,0.9925252925270799,0.45,0.45,decrease_margin_after_safe_window
74,mMTC,0.0,0.0,0.0,192.0,0.32728451604054803,0.45,0.45,decrease_margin_after_safe_window
75,URLLC,0.0,0.0,0.0,122.0,0.17005661332417582,0.45,0.45,decrease_margin_after_safe_window
75,eMBB,0.0,0.0,0.0,20.0,0.9906198394309584,0.45,0.45,decrease_margin_after_safe_window
75,mMTC,0.0,0.0,0.0,186.0,0.3011551148315249,0.45,0.45,decrease_margin_after_safe_window
76,URLLC,0.0,0.0,0.0,137.0,0.192909364010989,0.45,0.45,decrease_margin_after_safe_window
76,eMBB,0.0,0.0,0.0,13.0,0.9886199297634022,0.45,0.45,decrease_margin_after_safe_window
76,mMTC,0.0,0.0,0.0,187.0,0.2733611708129809,0.45,0.45,decrease_margin_after_safe_window
77,URLLC,0.0,0.0,0.0,131.0,0.19469292651098905,0.45,0.45,decrease_margin_after_safe_window
77,eMBB,0.0,0.0,0.0,17.0,0.9891666050627785,0.45,0.45,decrease_margin_after_safe_window
77,mMTC,0.0,0.0,0.0,168.0,0.30232198274257566,0.45,0.45,decrease_margin_after_safe_window
78,URLLC,0.0,0.0,0.0,124.0,0.18321180288461542,0.45,0.45,decrease_margin_after_safe_window
78,eMBB,0.0,0.0,0.0,20.0,0.9903278661412361,0.45,0.45,decrease_margin_after_safe_window
78,mMTC,0.0,0.0,0.0,204.0,0.26935092525707865,0.45,0.45,decrease_margin_after_safe_window
79,URLLC,0.0,0.0,1.0,135.0,0.2164101943681319,0.45,0.45,decrease_margin_after_safe_window
79,eMBB,0.0,0.0,1.0,18.0,0.9902331390133773,0.45,0.45,decrease_margin_after_safe_window
79,mMTC,0.0,0.0,0.0,188.0,0.350456481792319,0.45,0.45,decrease_margin_after_safe_window
80,URLLC,0.0,0.0,0.0,129.0,0.18655041826923077,0.45,0.45,decrease_margin_after_safe_window
80,eMBB,0.0,0.0,0.0,21.0,0.9913716790151129,0.45,0.45,decrease_margin_after_safe_window
80,mMTC,0.0,0.0,0.0,212.0,0.2786311080611669,0.45,0.45,decrease_margin_after_safe_window
81,URLLC,0.0,0.0,1.0,131.0,0.19353478571428573,0.45,0.45,decrease_margin_after_safe_window
81,eMBB,0.0,0.0,1.0,14.0,0.9919540488972289,0.45,0.45,decrease_margin_after_safe_window
81,mMTC,0.0,0.0,0.0,190.0,0.3540508300815051,0.45,0.45,decrease_margin_after_safe_window
82,URLLC,0.0,0.0,0.0,120.0,0.18461733859890112,0.45,0.45,decrease_margin_after_safe_window
82,eMBB,0.0,0.0,0.0,9.0,0.9881204721493487,0.45,0.45,decrease_margin_after_safe_window
82,mMTC,0.0,0.0,0.0,182.0,0.27528269786274256,0.45,0.45,decrease_margin_after_safe_window
83,URLLC,0.0,0.0,0.0,120.0,0.17189121565934068,0.45,0.45,decrease_margin_after_safe_window
83,eMBB,0.0,0.0,0.0,18.0,0.9920571532461138,0.45,0.45,decrease_margin_after_safe_window
83,mMTC,0.0,0.0,0.0,185.0,0.3060677672762432,0.45,0.45,decrease_margin_after_safe_window
84,URLLC,0.0,0.0,0.0,144.0,0.19831640247252746,0.45,0.45,decrease_margin_after_safe_window
84,eMBB,0.0,0.0,0.0,15.0,0.9893342004878743,0.45,0.45,decrease_margin_after_safe_window
84,mMTC,0.0,0.0,0.0,206.0,0.2949315256880308,0.45,0.45,decrease_margin_after_safe_window
85,URLLC,0.0,0.0,1.0,140.0,0.22425476785714288,0.45,0.45,decrease_margin_after_safe_window
85,eMBB,0.0,0.0,1.0,15.0,0.986529015949337,0.45,0.45,decrease_margin_after_safe_window
85,mMTC,0.0,0.0,0.0,169.0,0.3399388210654638,0.45,0.45,decrease_margin_after_safe_window
