effective_time,slice_name,observed_sla_violation_share,observed_latency_violation_ratio,observed_near_breach_share,observed_request_count,observed_avg_load,safety_margin_before,safety_margin_after,feedback_reason
4,URLLC,0.0,0.0,0.0,106.0,0.18248986263736264,1.25,1.2,decrease_margin_after_safe_window
4,eMBB,0.0,0.0,0.0,221.0,0.9979417355157694,0.9,0.85,decrease_margin_after_safe_window
4,mMTC,0.0,0.0,0.0,209.0,0.1883297451923077,0.9,0.85,decrease_margin_after_safe_window
5,URLLC,0.0,0.0,0.0,110.0,0.17065710164835166,1.2,1.15,decrease_margin_after_safe_window
5,eMBB,0.0,0.0,0.0,112.0,0.9969946954644394,0.85,0.7999999999999999,decrease_margin_after_safe_window
5,mMTC,0.0,0.0,0.0,206.0,0.25249585145164505,0.85,0.7999999999999999,decrease_margin_after_safe_window
6,URLLC,0.0,0.0,0.0,102.0,0.144101771978022,1.15,1.0999999999999999,decrease_margin_after_safe_window
6,eMBB,0.0,0.0,0.0,67.0,0.9965523840334705,0.7999999999999999,0.7499999999999999,decrease_margin_after_safe_window
6,mMTC,0.0,0.0,0.0,206.0,0.31293656981654905,0.7999999999999999,0.7499999999999999,decrease_margin_after_safe_window
7,URLLC,0.0,0.0,1.0,120.0,0.1820669114010989,1.0999999999999999,1.0499999999999998,decrease_margin_after_safe_window
7,eMBB,0.0,0.0,1.0,29.0,0.9973191265761282,0.7499999999999999,0.6999999999999998,decrease_margin_after_safe_window
7,mMTC,0.0,0.0,0.0,206.0,0.3452006226093992,0.7499999999999999,0.6999999999999998,decrease_margin_after_safe_window
8,URLLC,0.0,0.0,1.0,109.0,0.1665995741758242,1.0499999999999998,0.9999999999999998,decrease_margin_after_safe_window
8,eMBB,0.0,0.0,1.0,29.0,0.9973352841458275,0.6999999999999998,0.6499999999999998,decrease_margin_after_safe_window
8,mMTC,0.0,0.0,0.0,211.0,0.31989324529607155,0.6999999999999998,0.6499999999999998,decrease_margin_after_safe_window
9,URLLC,0.0,0.0,1.0,118.0,0.17007052953296703,0.9999999999999998,0.9499999999999997,decrease_margin_after_safe_window
9,eMBB,0.0,0.0,1.0,24.0,0.9976261381300772,0.6499999999999998,0.5999999999999998,decrease_margin_after_safe_window
9,mMTC,0.0,0.0,0.0,193.0,0.3503785445615648,0.6499999999999998,0.5999999999999998,decrease_margin_after_safe_window
10,URLLC,0.0,0.0,0.0,105.0,0.154735698489011,0.9499999999999997,0.8999999999999997,decrease_margin_after_safe_window
10,eMBB,0.0,0.0,0.0,8.0,0.9968139400569863,0.5999999999999998,0.5499999999999997,decrease_margin_after_safe_window
10,mMTC,0.0,0.0,0.0,217.0,0.32283945535277647,0.5999999999999998,0.5499999999999997,decrease_margin_after_safe_window
11,URLLC,0.0,0.0,1.0,122.0,0.19402555288461537,0.8999999999999997,0.8499999999999996,decrease_margin_after_safe_window
11,eMBB,0.0,0.0,1.0,5.0,0.9967630721220793,0.5499999999999997,0.4999999999999997,decrease_margin_after_safe_window
11,mMTC,0.0,0.0,0.0,213.0,0.361234137093041,0.5499999999999997,0.4999999999999997,decrease_margin_after_safe_window
