scenario,seed,metric,baseline,ml,delta_pct,output_dir
heavy,1234,connected_clients_ratio,0.7628712666666666,0.7627146666666668,-0.0205277098302702,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed1234_20260508_223937
heavy,1234,coverage_ratio,0.9992976,0.9995459333333332,0.0248507885271798,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed1234_20260508_223937
heavy,1234,block_ratio,0.0,0.0,0.0,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed1234_20260508_223937
heavy,1234,handover_ratio,0.0,0.0,0.0,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed1234_20260508_223937
heavy,1234,avg_slice_load_ratio,0.7211056007615603,0.7651225148403987,6.104087117386435,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed1234_20260508_223937
heavy,1234,total_bandwidth_usage,1817186113.919132,1928108737.3978047,6.104087117386466,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed1234_20260508_223937
heavy,1234,avg_latency_ms,0.7673425246790383,0.7719586937196421,0.6015786812459845,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed1234_20260508_223937
heavy,1234,p95_latency_ms,0.460362459311107,0.4696708853797887,2.0219776570424344,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed1234_20260508_223937
heavy,1234,latency_violation_ratio,0.0,0.0,0.0,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed1234_20260508_223937
heavy,1234,avg_state_sla_violation_share,0.001,0.001,0.0,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed1234_20260508_223937
heavy,1234,bandwidth_jain_fairness,0.4259884076725294,0.4199793775932809,-1.41060882667677,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed1234_20260508_223937
heavy,1234,bandwidth_jain_fairness_min,0.3333333333333333,0.3333333333333333,0.0,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed1234_20260508_223937
heavy,123,connected_clients_ratio,0.7566037333333334,0.7562002666666667,-0.0533260211245788,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed123_20260508_112416
heavy,123,coverage_ratio,0.9994209333333334,0.9991094,-0.0311713836425548,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed123_20260508_112416
heavy,123,block_ratio,0.0,0.0,0.0,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed123_20260508_112416
heavy,123,handover_ratio,0.0,0.0,0.0,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed123_20260508_112416
heavy,123,avg_slice_load_ratio,0.7238608549523153,0.7678538657699836,6.077550749800709,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed123_20260508_112416
heavy,123,total_bandwidth_usage,1824129354.4798348,1934991741.7403584,6.077550749800696,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed123_20260508_112416
heavy,123,avg_latency_ms,0.7446457477380707,0.7508427465558158,0.8322076418980578,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed123_20260508_112416
heavy,123,p95_latency_ms,0.4641520911450462,0.4741851045407379,2.1615788417414223,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed123_20260508_112416
heavy,123,latency_violation_ratio,0.0,0.0,0.0,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed123_20260508_112416
heavy,123,avg_state_sla_violation_share,0.001,0.001,0.0,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed123_20260508_112416
heavy,123,bandwidth_jain_fairness,0.4290615631281088,0.4227331056710965,-1.474953247005891,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed123_20260508_112416
heavy,123,bandwidth_jain_fairness_min,0.3333333333333333,0.3333333333333333,0.0,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed123_20260508_112416
heavy,256,connected_clients_ratio,0.7617491333333333,0.7613019333333334,-0.0587069916368621,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed256_20260508_131625
heavy,256,coverage_ratio,0.9994115333333334,0.9994096,-0.0001934471705431,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed256_20260508_131625
heavy,256,block_ratio,0.0,0.0,0.0,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed256_20260508_131625
heavy,256,handover_ratio,0.0,0.0,0.0,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed256_20260508_131625
heavy,256,avg_slice_load_ratio,0.7233772622055894,0.7690659807953,6.316029128480609,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed256_20260508_131625
heavy,256,total_bandwidth_usage,1822910700.7580853,1938046271.604156,6.316029128480616,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed256_20260508_131625
heavy,256,avg_latency_ms,0.7466019804547821,0.751021588750392,0.5919631090340536,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed256_20260508_131625
heavy,256,p95_latency_ms,0.4480983649143985,0.457530755646914,2.1049821804900684,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed256_20260508_131625
heavy,256,latency_violation_ratio,0.0,5.780346820808999e-07,0.0,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed256_20260508_131625
heavy,256,avg_state_sla_violation_share,0.001,0.001,0.0,C:\Users\LENOVO\Downloads\5G-Network-Slicing-main\5G-Network-Slicing-with-GBDT-ML-Policy\FINAL_OUTPUT_#1\FINAL_OUTPUT_heavy_seed256_20260508_131625
