scenario,metric,n,mean_pct,std_pct
heavy,avg_latency_ms,6,0.7395420264820626,0.1181343888825986
heavy,avg_slice_load_ratio,6,6.188498741910401,0.09216084625659049
heavy,avg_state_sla_violation_share,6,0.0,0.0
heavy,bandwidth_jain_fairness,6,-1.4825056227475493,0.04257927010464493
heavy,bandwidth_jain_fairness_min,6,0.0,0.0
heavy,block_ratio,6,0.0,0.0
heavy,connected_clients_ratio,6,-0.07107141462187035,0.03483029519672929
heavy,coverage_ratio,6,-0.009114222959282934,0.020541365121475107
heavy,handover_ratio,6,0.0,0.0
heavy,latency_violation_ratio,6,0.0,0.0
heavy,p95_latency_ms,6,2.1385525592633585,0.08287186573154484
heavy,total_bandwidth_usage,6,6.188498741910409,0.09216084625659043
light,avg_latency_ms,7,-0.007383610179210647,0.16622139867328795
light,avg_slice_load_ratio,7,7.246699083620648,0.14367913769957555
light,avg_state_sla_violation_share,7,-11.722965205533885,14.06664087935642
light,bandwidth_jain_fairness,7,-1.3591879366264592,0.049260859695072684
light,bandwidth_jain_fairness_min,7,0.0,0.0
light,block_ratio,7,0.0,0.0
light,connected_clients_ratio,7,-0.1136928266965119,0.03607080084284459
light,coverage_ratio,7,-0.004707138783909471,0.03222569587125304
light,handover_ratio,7,0.0,0.0
light,latency_violation_ratio,7,0.0,0.0
light,p95_latency_ms,7,17.99524207609124,2.4360166557447354
light,total_bandwidth_usage,7,7.246699083620657,0.14367913769957816
